date,in_res,nfa_cb,for_cur,sdr,mvf_pos,mon_gold,access_date
2018-08-01,458032,380621,370736,6802,3083,77411,2019-08-27
2018-09-01,460615,383350,373501,6778,3071,77265,2019-08-27
2018-10-01,459163,381672,371858,6754,3060,77491,2019-08-27
2018-11-01,459563,378508,368609,6696,3203,81055,2019-08-27
2018-12-01,462104,379179,369283,6694,3202,82925,2019-08-27
2019-01-01,468495,381592,371733,6737,3122,86903,2019-08-27
2019-02-01,475945,386485,376601,6792,3093,89460,2019-08-27
2019-03-01,482610,390969,380767,6770,3431,91641,2019-08-27
2019-04-01,487803,397792,387653,6730,3409,90011,2019-08-27
2019-05-01,491088,401080,390579,6724,3777,90008,2019-08-27
2019-06-01,495232,405351,394923,6678,3750,89882,2019-08-27
2019-07-01,518363,418086,407618,6745,3723,100278,2019-08-27
2019-08-01,519797,417874,407205,6679,3990,101923,2019-08-27
