date,m2sa,access_date
1995-07-01,152.421696853389,2019-08-27
1995-08-01,162.907830603545,2019-08-27
1995-09-01,173.992765768861,2019-08-27
1995-10-01,183.804693834292,2019-08-27
1995-11-01,190.123489510663,2019-08-27
1995-12-01,200.390183047392,2019-08-27
1996-01-01,211.46203228572,2019-08-27
1996-02-01,220.146505016322,2019-08-27
1996-03-01,229.796430960661,2019-08-27
1996-04-01,242.985494674227,2019-08-27
1996-05-01,247.792247209327,2019-08-27
1996-06-01,252.145988071864,2019-08-27
1996-07-01,259.824159681941,2019-08-27
1996-08-01,268.467751442863,2019-08-27
1996-09-01,275.693893663872,2019-08-27
1996-10-01,282.34566579798,2019-08-27
1996-11-01,287.435646229841,2019-08-27
1996-12-01,289.656906936746,2019-08-27
1997-01-01,276.042470190875,2019-08-27
1997-02-01,294.519714607093,2019-08-27
1997-03-01,300.57019305879,2019-08-27
1997-04-01,307.705515069808,2019-08-27
1997-05-01,314.495243311253,2019-08-27
1997-06-01,325.777214949733,2019-08-27
1997-07-01,342.762037044833,2019-08-27
1997-08-01,358.498459660346,2019-08-27
1997-09-01,365.188902463892,2019-08-27
1997-10-01,370.646134984551,2019-08-27
1997-11-01,379.236530192458,2019-08-27
1997-12-01,365.55043741992,2019-08-27
1998-01-01,357.944036726708,2019-08-27
1998-02-01,370.930812519308,2019-08-27
1998-03-01,369.071590700109,2019-08-27
1998-04-01,367.570895076775,2019-08-27
1998-05-01,370.170591016801,2019-08-27
1998-06-01,372.828139903024,2019-08-27
1998-07-01,364.996582208876,2019-08-27
1998-08-01,360.858264370712,2019-08-27
1998-09-01,350.885525214575,2019-08-27
1998-10-01,380.902567329214,2019-08-27
1998-11-01,396.53864005689,2019-08-27
1998-12-01,415.374181041717,2019-08-27
1999-01-01,433.394898888976,2019-08-27
1999-02-01,458.641364908206,2019-08-27
1999-03-01,475.739521364529,2019-08-27
1999-04-01,487.107462518407,2019-08-27
1999-05-01,517.396044924275,2019-08-27
1999-06-01,549.629350765528,2019-08-27
1999-07-01,567.48929771105,2019-08-27
1999-08-01,588.331192973676,2019-08-27
1999-09-01,606.020763040867,2019-08-27
1999-10-01,620.471582480069,2019-08-27
1999-11-01,652.991821633888,2019-08-27
1999-12-01,674.344181473124,2019-08-27
2000-01-01,681.339747814416,2019-08-27
2000-02-01,723.256017971878,2019-08-27
2000-03-01,751.957074592215,2019-08-27
2000-04-01,777.773130003346,2019-08-27
2000-05-01,803.465249412849,2019-08-27
2000-06-01,844.126936067095,2019-08-27
2000-07-01,884.872115478486,2019-08-27
2000-08-01,938.611455654451,2019-08-27
2000-09-01,976.939443893871,2019-08-27
2000-10-01,1018.98285240402,2019-08-27
2000-11-01,1035.5496983978,2019-08-27
2000-12-01,1070.30797549691,2019-08-27
2001-01-01,1094.98088833971,2019-08-27
2001-02-01,1112.45670606052,2019-08-27
2001-03-01,1136.78684028058,2019-08-27
2001-04-01,1174.5470277372,2019-08-27
2001-05-01,1224.56927819972,2019-08-27
2001-06-01,1235.12450917924,2019-08-27
2001-07-01,1271.31103337084,2019-08-27
2001-08-01,1321.85312951861,2019-08-27
2001-09-01,1373.09264221138,2019-08-27
2001-10-01,1430.98825443251,2019-08-27
2001-11-01,1476.61182006429,2019-08-27
2001-12-01,1469.68356236684,2019-08-27
2002-01-01,1529.59008726397,2019-08-27
2002-02-01,1543.11264017246,2019-08-27
2002-03-01,1560.20730805636,2019-08-27
2002-04-01,1592.23498224857,2019-08-27
2002-05-01,1636.93066506036,2019-08-27
2002-06-01,1692.85150930481,2019-08-27
2002-07-01,1721.71634190933,2019-08-27
2002-08-01,1771.62456415519,2019-08-27
2002-09-01,1822.52157786887,2019-08-27
2002-10-01,1865.6850833125,2019-08-27
2002-11-01,1937.71117116142,2019-08-27
2002-12-01,1976.76965484806,2019-08-27
2003-01-01,2023.26097878389,2019-08-27
2003-02-01,2073.84599915461,2019-08-27
2003-03-01,2152.07344053519,2019-08-27
2003-04-01,2238.82814533256,2019-08-27
2003-05-01,2333.68052322952,2019-08-27
2003-06-01,2438.9064240016,2019-08-27
2003-07-01,2553.30733170606,2019-08-27
2003-08-01,2616.281909676,2019-08-27
2003-09-01,2695.6696027431,2019-08-27
2003-10-01,2752.53558653518,2019-08-27
2003-11-01,2814.11665705503,2019-08-27
2003-12-01,2891.6173178435,2019-08-27
2004-01-01,3042.30654154851,2019-08-27
2004-02-01,3259.26756190426,2019-08-27
2004-03-01,3380.34739113086,2019-08-27
2004-04-01,3431.96416896304,2019-08-27
2004-05-01,3483.75624922062,2019-08-27
2004-06-01,3502.43591923518,2019-08-27
2004-07-01,3576.41394975731,2019-08-27
2004-08-01,3604.92961611364,2019-08-27
2004-09-01,3654.74774359804,2019-08-27
2004-10-01,3726.8272387219,2019-08-27
2004-11-01,3881.03017020935,2019-08-27
2004-12-01,4018.48821882181,2019-08-27
2005-01-01,4133.0375102555,2019-08-27
2005-02-01,4237.78959367415,2019-08-27
2005-03-01,4366.242729907,2019-08-27
2005-04-01,4479.32677972448,2019-08-27
2005-05-01,4589.74701749557,2019-08-27
2005-06-01,4659.54367722846,2019-08-27
2005-07-01,4791.94169100762,2019-08-27
2005-08-01,4955.24681062255,2019-08-27
2005-09-01,5131.85653107197,2019-08-27
2005-10-01,5285.5089568573,2019-08-27
2005-11-01,5439.38550791415,2019-08-27
2005-12-01,5552.30157659552,2019-08-27
2006-01-01,5726.09645044062,2019-08-27
2006-02-01,5883.92115233892,2019-08-27
2006-03-01,5977.59395048329,2019-08-27
2006-04-01,6155.17259607952,2019-08-27
2006-05-01,6348.79459116668,2019-08-27
2006-06-01,6632.65170270957,2019-08-27
2006-07-01,6893.67211874993,2019-08-27
2006-08-01,7189.02609817062,2019-08-27
2006-09-01,7446.18739363193,2019-08-27
2006-10-01,7744.59164878691,2019-08-27
2006-11-01,7962.86344050102,2019-08-27
2006-12-01,8182.6298695708,2019-08-27
2007-01-01,8516.35294760914,2019-08-27
