date,gdp_2016_price,access_date
2011-01-01,18648.0286758275,2019-10-02
2011-04-01,20011.9853888669,2019-10-02
2011-07-01,21650.3664385625,2019-10-02
2011-10-01,22998.1174466734,2019-10-02
2012-01-01,19662.1999201111,2019-10-02
2012-04-01,20899.3295212773,2019-10-02
2012-07-01,22357.1559290695,2019-10-02
2012-10-01,23435.4892665196,2019-10-02
2013-01-01,19909.3153345989,2019-10-02
2013-04-01,21251.172957833,2019-10-02
2013-07-01,22720.8750801796,2019-10-02
2013-10-01,24014.5394079716,2019-10-02
2014-01-01,19871.2791657813,2019-10-02
2014-04-01,21348.5873752297,2019-10-02
2014-07-01,22480.1326097271,2019-10-02
2014-10-01,24057.0827921289,2019-10-02
2015-01-01,19513.9130650847,2019-10-02
2015-04-01,20600.1554536554,2019-10-02
2015-07-01,22025.5665527692,2019-10-02
2015-10-01,23592.270646094,2019-10-02
2016-01-01,19437.9149569736,2019-10-02
2016-04-01,20669.5795972493,2019-10-02
2016-07-01,22089.3054717321,2019-10-02
2016-10-01,23817.4042749792,2019-10-02
2017-01-01,19725.5574388716,2019-10-02
2017-04-01,21193.3048510204,2019-10-02
2017-07-01,22600.1832509056,2019-10-02
2017-10-01,23897.3500457698,2019-10-02
2018-01-01,20090.6702261427,2019-10-02
2018-04-01,21650.8866500799,2019-10-02
2018-07-01,23092.4259052137,2019-10-02
2018-10-01,24553.4814916898,2019-10-02
2019-01-01,20201.0872610009,2019-10-02
2019-04-01,21835.8177113103,2019-10-02
