date,cpi,access_date
1991-01-01,167,2020-09-20
1991-02-01,162,2020-09-20
1991-03-01,168,2020-09-20
1991-04-01,212,2020-09-20
1991-05-01,148,2020-09-20
1991-06-01,100,2020-09-20
1991-07-01,50,2020-09-20
1991-08-01,40,2020-09-20
1991-09-01,93,2020-09-20
1991-10-01,152,2020-09-20
1991-11-01,178,2020-09-20
1991-12-01,186,2020-09-20
1992-01-01,213,2020-09-20
1992-02-01,210,2020-09-20
1992-03-01,209,2020-09-20
1992-04-01,200,2020-09-20
1992-05-01,185,2020-09-20
1992-06-01,196,2020-09-20
1992-07-01,180,2020-09-20
1992-08-01,177,2020-09-20
1992-09-01,183,2020-09-20
1992-10-01,202,2020-09-20
1992-11-01,208,2020-09-20
1992-12-01,205,2020-09-20
1993-01-01,206,2020-09-20
1993-02-01,204,2020-09-20
1993-03-01,199,2020-09-20
1993-04-01,195,2020-09-20
1993-05-01,194,2020-09-20
1993-06-01,198,2020-09-20
1993-07-01,201,2020-09-20
1993-08-01,207,2020-09-20
1993-09-01,203,2020-09-20
1993-10-01,197,2020-09-20
1993-11-01,190,2020-09-20
1993-12-01,187,2020-09-20
1994-01-01,193,2020-09-20
1994-02-01,181,2020-09-20
1994-03-01,171,2020-09-20
1994-04-01,176,2020-09-20
1994-05-01,170,2020-09-20
1994-06-01,166,2020-09-20
1994-07-01,163,2020-09-20
1994-08-01,160,2020-09-20
1994-09-01,173,2020-09-20
1994-10-01,189,2020-09-20
1994-11-01,188,2020-09-20
1994-12-01,191,2020-09-20
1995-01-01,192,2020-09-20
1995-02-01,182,2020-09-20
1995-03-01,179,2020-09-20
1995-04-01,175,2020-09-20
1995-05-01,172,2020-09-20
1995-06-01,169,2020-09-20
1995-07-01,164,2020-09-20
1995-08-01,159,2020-09-20
1995-09-01,157,2020-09-20
1995-10-01,161,2020-09-20
1995-11-01,159,2020-09-20
1995-12-01,151,2020-09-20
1996-01-01,155,2020-09-20
1996-02-01,145,2020-09-20
1996-03-01,146,2020-09-20
1996-04-01,133,2020-09-20
1996-05-01,117,2020-09-20
1996-06-01,99,2020-09-20
1996-07-01,61,2020-09-20
1996-08-01,218,2020-09-20
1996-09-01,24,2020-09-20
1996-10-01,100,2020-09-20
1996-11-01,130,2020-09-20
1996-12-01,111,2020-09-20
1997-01-01,138,2020-09-20
1997-02-01,116,2020-09-20
1997-03-01,112,2020-09-20
1997-04-01,81,2020-09-20
1997-05-01,79,2020-09-20
1997-06-01,93,2020-09-20
1997-07-01,78,2020-09-20
1997-08-01,221,2020-09-20
1997-09-01,216,2020-09-20
1997-10-01,11,2020-09-20
1997-11-01,51,2020-09-20
1997-12-01,81,2020-09-20
1998-01-01,114,2020-09-20
1998-02-01,74,2020-09-20
1998-03-01,54,2020-09-20
1998-04-01,29,2020-09-20
1998-05-01,40,2020-09-20
1998-06-01,5,2020-09-20
1998-07-01,11,2020-09-20
1998-08-01,153,2020-09-20
1998-09-01,211,2020-09-20
1998-10-01,158,2020-09-20
1998-11-01,165,2020-09-20
1998-12-01,184,2020-09-20
1999-01-01,174,2020-09-20
1999-02-01,156,2020-09-20
1999-03-01,145,2020-09-20
1999-04-01,149,2020-09-20
1999-05-01,134,2020-09-20
1999-06-01,131,2020-09-20
1999-07-01,147,2020-09-20
1999-08-01,98,2020-09-20
1999-09-01,113,2020-09-20
1999-10-01,110,2020-09-20
1999-11-01,102,2020-09-20
1999-12-01,103,2020-09-20
2000-01-01,137,2020-09-20
2000-02-01,88,2020-09-20
2000-03-01,54,2020-09-20
2000-04-01,74,2020-09-20
2000-05-01,126,2020-09-20
2000-06-01,142,2020-09-20
2000-07-01,128,2020-09-20
2000-08-01,83,2020-09-20
2000-09-01,106,2020-09-20
2000-10-01,132,2020-09-20
2000-11-01,115,2020-09-20
2000-12-01,121,2020-09-20
2001-01-01,144,2020-09-20
2001-02-01,135,2020-09-20
2001-03-01,129,2020-09-20
