date,import,export,access_date
1997-01-01,237,227,2021-01-09
1997-02-01,232,234,2021-01-09
1997-03-01,243,241,2021-01-09
1997-04-01,239,255,2021-01-09
1997-05-01,235,238,2021-01-09
1997-06-01,238,247,2021-01-09
1997-07-01,245,260,2021-01-09
1997-08-01,240,253,2021-01-09
1997-09-01,241,256,2021-01-09
1997-10-01,250,266,2021-01-09
1997-11-01,260,263,2021-01-09
1997-12-01,271,276,2021-01-09
1998-01-01,219,243,2021-01-09
1998-02-01,217,250,2021-01-09
1998-03-01,234,261,2021-01-09
1998-04-01,226,254,2021-01-09
1998-05-01,224,244,2021-01-09
1998-06-01,230,245,2021-01-09
1998-07-01,236,239,2021-01-09
1998-08-01,227,229,2021-01-09
1998-09-01,228,184,2021-01-09
1998-10-01,222,174,2021-01-09
1998-11-01,220,175,2021-01-09
1998-12-01,242,205,2021-01-09
1999-01-01,175,139,2021-01-09
1999-02-01,200,163,2021-01-09
1999-03-01,216,200,2021-01-09
1999-04-01,225,192,2021-01-09
1999-05-01,210,158,2021-01-09
1999-06-01,214,211,2021-01-09
1999-07-01,221,188,2021-01-09
1999-08-01,218,177,2021-01-09
1999-09-01,223,179,2021-01-09
1999-10-01,233,195,2021-01-09
1999-11-01,244,201,2021-01-09
1999-12-01,276,210,2021-01-09
2000-01-01,233,157,2021-01-09
2000-02-01,247,197,2021-01-09
2000-03-01,272,204,2021-01-09
2000-04-01,249,193,2021-01-09
2000-05-01,256,194,2021-01-09
2000-06-01,264,202,2021-01-09
2000-07-01,261,203,2021-01-09
2000-08-01,269,209,2021-01-09
2000-09-01,266,206,2021-01-09
2000-10-01,265,213,2021-01-09
2000-11-01,282,216,2021-01-09
2000-12-01,284,226,2021-01-09
2001-01-01,255,189,2021-01-09
2001-02-01,253,208,2021-01-09
2001-03-01,267,215,2021-01-09
2001-04-01,257,217,2021-01-09
2001-05-01,262,219,2021-01-09
2001-06-01,270,222,2021-01-09
2001-07-01,248,218,2021-01-09
2001-08-01,268,220,2021-01-09
2001-09-01,258,214,2021-01-09
2001-10-01,246,225,2021-01-09
2001-11-01,254,230,2021-01-09
2001-12-01,251,242,2021-01-09
2002-01-01,231,207,2021-01-09
2002-02-01,229,212,2021-01-09
2002-03-01,259,221,2021-01-09
2002-04-01,275,231,2021-01-09
2002-05-01,263,223,2021-01-09
2002-06-01,252,228,2021-01-09
2002-07-01,274,236,2021-01-09
2002-08-01,281,233,2021-01-09
2002-09-01,278,232,2021-01-09
2002-10-01,280,246,2021-01-09
2002-11-01,273,240,2021-01-09
2002-12-01,2,259,2021-01-09
2003-01-01,277,224,2021-01-09
2003-02-01,279,235,2021-01-09
2003-03-01,7,249,2021-01-09
2003-04-01,283,252,2021-01-09
2003-05-01,285,248,2021-01-09
2003-06-01,1,251,2021-01-09
2003-07-01,3,264,2021-01-09
2003-08-01,8,257,2021-01-09
2003-09-01,6,258,2021-01-09
2003-10-01,10,267,2021-01-09
2003-11-01,5,265,2021-01-09
2003-12-01,12,277,2021-01-09
2004-01-01,4,237,2021-01-09
2004-02-01,9,262,2021-01-09
2004-03-01,13,271,2021-01-09
2004-04-01,15,270,2021-01-09
2004-05-01,11,269,2021-01-09
2004-06-01,16,272,2021-01-09
2004-07-01,17,275,2021-01-09
2004-08-01,20,274,2021-01-09
2004-09-01,19,273,2021-01-09
2004-10-01,21,280,2021-01-09
2004-11-01,23,281,2021-01-09
2004-12-01,25,7,2021-01-09
2005-01-01,14,268,2021-01-09
2005-02-01,18,279,2021-01-09
2005-03-01,30,1,2021-01-09
2005-04-01,29,283,2021-01-09
2005-05-01,31,282,2021-01-09
2005-06-01,28,285,2021-01-09
2005-07-01,36,6,2021-01-09
2005-08-01,38,4,2021-01-09
2005-09-01,39,5,2021-01-09
2005-10-01,44,10,2021-01-09
2005-11-01,43,13,2021-01-09
2005-12-01,60,21,2021-01-09
2006-01-01,33,278,2021-01-09
2006-02-01,40,2,2021-01-09
2006-03-01,56,14,2021-01-09
2006-04-01,52,9,2021-01-09
2006-05-01,77,16,2021-01-09
2006-06-01,64,28,2021-01-09
2006-07-01,69,19,2021-01-09
2006-08-01,84,25,2021-01-09
2006-09-01,67,26,2021-01-09
2006-10-01,54,39,2021-01-09
2006-11-01,55,43,2021-01-09
2006-12-01,88,83,2021-01-09
2007-01-01,37,11,2021-01-09
2007-02-01,47,22,2021-01-09
2007-03-01,71,54,2021-01-09
2007-04-01,81,49,2021-01-09
2007-05-01,90,59,2021-01-09
2007-06-01,74,72,2021-01-09
2007-07-01,94,81,2021-01-09
2007-08-01,104,89,2021-01-09
2007-09-01,83,73,2021-01-09
2007-10-01,133,117,2021-01-09
2007-11-01,138,121,2021-01-09
2007-12-01,152,137,2021-01-09
2008-01-01,130,38,2021-01-09
2008-02-01,137,99,2021-01-09
2008-03-01,158,124,2021-01-09
2008-04-01,164,138,2021-01-09
2008-05-01,180,131,2021-01-09
2008-06-01,184,141,2021-01-09
2008-07-01,206,171,2021-01-09
2008-08-01,197,156,2021-01-09
2008-09-01,183,159,2021-01-09
2008-10-01,155,146,2021-01-09
2008-11-01,95,103,2021-01-09
2008-12-01,99,125,2021-01-09
2009-01-01,27,3,2021-01-09
2009-02-01,24,18,2021-01-09
2009-03-01,41,24,2021-01-09
2009-04-01,26,23,2021-01-09
2009-05-01,35,17,2021-01-09
2009-06-01,51,29,2021-01-09
2009-07-01,73,32,2021-01-09
2009-08-01,78,30,2021-01-09
2009-09-01,89,52,2021-01-09
2009-10-01,103,67,2021-01-09
2009-11-01,105,69,2021-01-09
2009-12-01,129,94,2021-01-09
2010-01-01,80,8,2021-01-09
2010-02-01,102,33,2021-01-09
2010-03-01,124,68,2021-01-09
2010-04-01,122,74,2021-01-09
2010-05-01,113,76,2021-01-09
2010-06-01,119,80,2021-01-09
2010-07-01,109,95,2021-01-09
2010-08-01,115,127,2021-01-09
2010-09-01,128,123,2021-01-09
2010-10-01,135,133,2021-01-09
2010-11-01,134,135,2021-01-09
2010-12-01,181,154,2021-01-09
2011-01-01,98,45,2021-01-09
2011-02-01,162,110,2021-01-09
2011-03-01,179,150,2021-01-09
2011-04-01,202,153,2021-01-09
2011-05-01,191,165,2021-01-09
2011-06-01,188,162,2021-01-09
2011-07-01,173,152,2021-01-09
2011-08-01,189,178,2021-01-09
2011-09-01,185,151,2021-01-09
2011-10-01,198,173,2021-01-09
2011-11-01,204,181,2021-01-09
2011-12-01,215,185,2021-01-09
2012-01-01,159,79,2021-01-09
2012-02-01,195,136,2021-01-09
2012-03-01,207,170,2021-01-09
2012-04-01,196,148,2021-01-09
2012-05-01,201,166,2021-01-09
2012-06-01,166,155,2021-01-09
2012-07-01,169,180,2021-01-09
2012-08-01,168,186,2021-01-09
2012-09-01,182,160,2021-01-09
2012-10-01,205,198,2021-01-09
2012-11-01,199,190,2021-01-09
2012-12-01,212,196,2021-01-09
2013-01-01,157,112,2021-01-09
2013-02-01,177,145,2021-01-09
2013-03-01,193,169,2021-01-09
2013-04-01,192,183,2021-01-09
2013-05-01,167,144,2021-01-09
2013-06-01,176,167,2021-01-09
2013-07-01,187,187,2021-01-09
2013-08-01,178,168,2021-01-09
2013-09-01,194,172,2021-01-09
2013-10-01,186,191,2021-01-09
2013-11-01,208,182,2021-01-09
2013-12-01,213,199,2021-01-09
2014-01-01,160,99,2021-01-09
2014-02-01,143,129,2021-01-09
2014-03-01,209,161,2021-01-09
2014-04-01,211,164,2021-01-09
2014-05-01,190,143,2021-01-09
