date,import,export,access_date
1997-01-01,241,231,2021-05-01
1997-02-01,236,238,2021-05-01
1997-03-01,247,245,2021-05-01
1997-04-01,243,259,2021-05-01
1997-05-01,239,242,2021-05-01
1997-06-01,242,251,2021-05-01
1997-07-01,249,264,2021-05-01
1997-08-01,244,257,2021-05-01
1997-09-01,245,260,2021-05-01
1997-10-01,254,270,2021-05-01
1997-11-01,264,267,2021-05-01
1997-12-01,275,280,2021-05-01
1998-01-01,223,247,2021-05-01
1998-02-01,221,254,2021-05-01
1998-03-01,238,265,2021-05-01
1998-04-01,230,258,2021-05-01
1998-05-01,228,248,2021-05-01
1998-06-01,234,249,2021-05-01
1998-07-01,240,243,2021-05-01
1998-08-01,231,233,2021-05-01
1998-09-01,232,188,2021-05-01
1998-10-01,226,178,2021-05-01
1998-11-01,224,179,2021-05-01
1998-12-01,246,209,2021-05-01
1999-01-01,179,143,2021-05-01
1999-02-01,204,167,2021-05-01
1999-03-01,220,204,2021-05-01
1999-04-01,229,196,2021-05-01
1999-05-01,214,162,2021-05-01
1999-06-01,218,215,2021-05-01
1999-07-01,225,192,2021-05-01
1999-08-01,222,181,2021-05-01
1999-09-01,227,183,2021-05-01
1999-10-01,237,199,2021-05-01
1999-11-01,248,205,2021-05-01
1999-12-01,280,214,2021-05-01
2000-01-01,237,161,2021-05-01
2000-02-01,251,201,2021-05-01
2000-03-01,276,208,2021-05-01
2000-04-01,253,197,2021-05-01
2000-05-01,260,198,2021-05-01
2000-06-01,268,206,2021-05-01
2000-07-01,265,207,2021-05-01
2000-08-01,273,213,2021-05-01
2000-09-01,270,210,2021-05-01
2000-10-01,269,217,2021-05-01
2000-11-01,286,220,2021-05-01
2000-12-01,288,230,2021-05-01
2001-01-01,259,193,2021-05-01
2001-02-01,257,212,2021-05-01
2001-03-01,271,219,2021-05-01
2001-04-01,261,221,2021-05-01
2001-05-01,266,223,2021-05-01
2001-06-01,274,226,2021-05-01
2001-07-01,252,222,2021-05-01
2001-08-01,272,224,2021-05-01
2001-09-01,262,218,2021-05-01
2001-10-01,250,229,2021-05-01
2001-11-01,258,234,2021-05-01
2001-12-01,255,246,2021-05-01
2002-01-01,235,211,2021-05-01
2002-02-01,233,216,2021-05-01
2002-03-01,263,225,2021-05-01
2002-04-01,279,235,2021-05-01
2002-05-01,267,227,2021-05-01
2002-06-01,256,232,2021-05-01
2002-07-01,278,240,2021-05-01
2002-08-01,285,237,2021-05-01
2002-09-01,282,236,2021-05-01
2002-10-01,284,250,2021-05-01
2002-11-01,277,244,2021-05-01
2002-12-01,2,263,2021-05-01
2003-01-01,281,228,2021-05-01
2003-02-01,283,239,2021-05-01
2003-03-01,7,253,2021-05-01
2003-04-01,287,256,2021-05-01
2003-05-01,289,252,2021-05-01
2003-06-01,1,255,2021-05-01
2003-07-01,3,268,2021-05-01
2003-08-01,8,261,2021-05-01
2003-09-01,6,262,2021-05-01
2003-10-01,10,271,2021-05-01
2003-11-01,5,269,2021-05-01
2003-12-01,12,281,2021-05-01
2004-01-01,4,241,2021-05-01
2004-02-01,9,266,2021-05-01
2004-03-01,13,275,2021-05-01
2004-04-01,15,274,2021-05-01
2004-05-01,11,273,2021-05-01
2004-06-01,16,276,2021-05-01
2004-07-01,17,279,2021-05-01
2004-08-01,20,278,2021-05-01
2004-09-01,19,277,2021-05-01
2004-10-01,21,284,2021-05-01
2004-11-01,23,285,2021-05-01
2004-12-01,25,7,2021-05-01
2005-01-01,14,272,2021-05-01
2005-02-01,18,283,2021-05-01
2005-03-01,30,1,2021-05-01
2005-04-01,29,287,2021-05-01
2005-05-01,31,286,2021-05-01
2005-06-01,28,289,2021-05-01
2005-07-01,36,6,2021-05-01
2005-08-01,38,4,2021-05-01
2005-09-01,39,5,2021-05-01
2005-10-01,44,10,2021-05-01
2005-11-01,43,13,2021-05-01
2005-12-01,60,21,2021-05-01
2006-01-01,33,282,2021-05-01
2006-02-01,40,2,2021-05-01
2006-03-01,56,14,2021-05-01
2006-04-01,52,9,2021-05-01
2006-05-01,77,16,2021-05-01
2006-06-01,64,28,2021-05-01
2006-07-01,69,19,2021-05-01
2006-08-01,85,25,2021-05-01
2006-09-01,67,26,2021-05-01
2006-10-01,54,39,2021-05-01
2006-11-01,55,43,2021-05-01
2006-12-01,88,84,2021-05-01
2007-01-01,37,11,2021-05-01
2007-02-01,47,22,2021-05-01
2007-03-01,71,54,2021-05-01
2007-04-01,82,49,2021-05-01
2007-05-01,91,59,2021-05-01
2007-06-01,74,73,2021-05-01
2007-07-01,95,82,2021-05-01
2007-08-01,107,89,2021-05-01
2007-09-01,84,74,2021-05-01
2007-10-01,136,119,2021-05-01
2007-11-01,141,123,2021-05-01
2007-12-01,156,140,2021-05-01
2008-01-01,133,38,2021-05-01
2008-02-01,140,101,2021-05-01
2008-03-01,162,127,2021-05-01
2008-04-01,168,142,2021-05-01
2008-05-01,184,134,2021-05-01
2008-06-01,188,145,2021-05-01
2008-07-01,210,175,2021-05-01
2008-08-01,201,160,2021-05-01
2008-09-01,187,163,2021-05-01
2008-10-01,159,150,2021-05-01
2008-11-01,97,105,2021-05-01
2008-12-01,101,128,2021-05-01
2009-01-01,27,3,2021-05-01
2009-02-01,24,18,2021-05-01
2009-03-01,41,24,2021-05-01
2009-04-01,26,23,2021-05-01
2009-05-01,35,17,2021-05-01
2009-06-01,51,29,2021-05-01
2009-07-01,73,32,2021-05-01
2009-08-01,78,30,2021-05-01
2009-09-01,90,52,2021-05-01
2009-10-01,106,68,2021-05-01
2009-11-01,108,70,2021-05-01
2009-12-01,132,95,2021-05-01
2010-01-01,81,8,2021-05-01
2010-02-01,105,33,2021-05-01
2010-03-01,127,69,2021-05-01
2010-04-01,125,75,2021-05-01
2010-05-01,116,77,2021-05-01
2010-06-01,122,81,2021-05-01
2010-07-01,112,96,2021-05-01
2010-08-01,118,130,2021-05-01
2010-09-01,131,126,2021-05-01
2010-10-01,138,136,2021-05-01
2010-11-01,137,138,2021-05-01
2010-12-01,185,158,2021-05-01
2011-01-01,100,45,2021-05-01
2011-02-01,166,112,2021-05-01
2011-03-01,183,154,2021-05-01
2011-04-01,206,157,2021-05-01
2011-05-01,195,169,2021-05-01
2011-06-01,192,166,2021-05-01
2011-07-01,177,156,2021-05-01
2011-08-01,193,182,2021-05-01
2011-09-01,189,155,2021-05-01
2011-10-01,202,177,2021-05-01
2011-11-01,208,185,2021-05-01
2011-12-01,219,189,2021-05-01
2012-01-01,163,80,2021-05-01
2012-02-01,199,139,2021-05-01
2012-03-01,211,174,2021-05-01
2012-04-01,200,152,2021-05-01
2012-05-01,205,170,2021-05-01
2012-06-01,170,159,2021-05-01
2012-07-01,173,184,2021-05-01
2012-08-01,172,190,2021-05-01
2012-09-01,186,164,2021-05-01
2012-10-01,209,202,2021-05-01
2012-11-01,203,194,2021-05-01
2012-12-01,216,200,2021-05-01
2013-01-01,161,114,2021-05-01
2013-02-01,181,149,2021-05-01
2013-03-01,197,173,2021-05-01
2013-04-01,196,187,2021-05-01
2013-05-01,171,148,2021-05-01
2013-06-01,180,171,2021-05-01
2013-07-01,191,191,2021-05-01
2013-08-01,182,172,2021-05-01
2013-09-01,198,176,2021-05-01
2013-10-01,190,195,2021-05-01
2013-11-01,212,186,2021-05-01
2013-12-01,217,203,2021-05-01
2014-01-01,164,101,2021-05-01
2014-02-01,147,132,2021-05-01
2014-03-01,213,165,2021-05-01
2014-04-01,215,168,2021-05-01
2014-05-01,194,147,2021-05-01
2014-06-01,169,151,2021-05-01
2014-07-01,207,180,2021-05-01
2014-08-01,176,144,2021-05-01
2014-09-01,157,146,2021-05-01
2014-10-01,178,153,2021-05-01
2014-11-01,151,125,2021-05-01
2014-12-01,158,137,2021-05-01
2015-01-01,86,12,2021-05-01
2015-02-01,98,36,2021-05-01
2015-03-01,126,56,2021-05-01
2015-04-01,111,42,2021-05-01
2015-05-01,110,34,2021-05-01
2015-06-01,104,44,2021-05-01
2015-07-01,83,51,2021-05-01
2015-08-01,63,46,2021-05-01
2015-09-01,75,53,2021-05-01
2015-10-01,80,55,2021-05-01
2015-11-01,66,47,2021-05-01
2015-12-01,93,61,2021-05-01
2016-01-01,22,288,2021-05-01
2016-02-01,32,15,2021-05-01
2016-03-01,49,35,2021-05-01
2016-04-01,42,31,2021-05-01
2016-05-01,45,27,2021-05-01
2016-06-01,53,40,2021-05-01
2016-07-01,46,41,2021-05-01
2016-08-01,48,71,2021-05-01
2016-09-01,65,64,2021-05-01
2016-10-01,61,65,2021-05-01
2016-11-01,76,63,2021-05-01
2016-12-01,117,83,2021-05-01
2017-01-01,68,20,2021-05-01
2017-02-01,70,37,2021-05-01
2017-03-01,120,76,2021-05-01
2017-04-01,72,67,2021-05-01
2017-05-01,87,85,2021-05-01
2017-06-01,99,97,2021-05-01
2017-07-01,59,98,2021-05-01
2017-08-01,94,122,2021-05-01
2017-09-01,113,93,2021-05-01
2017-10-01,121,110,2021-05-01
2017-11-01,128,117,2021-05-01
2017-12-01,154,133,2021-05-01
2018-01-01,130,50,2021-05-01
2018-02-01,119,79,2021-05-01
2018-03-01,149,111,2021-05-01
2018-04-01,145,102,2021-05-01
2018-05-01,148,108,2021-05-01
2018-06-01,146,104,2021-05-01
2018-07-01,135,106,2021-05-01
2018-08-01,155,113,2021-05-01
2018-09-01,160,87,2021-05-01
2018-10-01,175,109,2021-05-01
2018-11-01,167,107,2021-05-01
2018-12-01,174,121,2021-05-01
2019-01-01,114,48,2021-05-01
2019-02-01,139,66,2021-05-01
2019-03-01,152,100,2021-05-01
2019-04-01,150,118,2021-05-01
2019-05-01,124,88,2021-05-01
2019-06-01,123,90,2021-05-01
2019-07-01,129,120,2021-05-01
2019-08-01,134,116,2021-05-01
2019-09-01,143,103,2021-05-01
2019-10-01,153,131,2021-05-01
2019-11-01,144,129,2021-05-01
2019-12-01,165,135,2021-05-01
2020-01-01,109,57,2021-05-01
2020-02-01,92,72,2021-05-01
2020-03-01,103,92,2021-05-01
2020-04-01,62,62,2021-05-01
2020-05-01,34,58,2021-05-01
2020-06-01,57,78,2021-05-01
2020-07-01,58,86,2021-05-01
2020-08-01,50,91,2021-05-01
2020-09-01,115,94,2021-05-01
2020-10-01,89,115,2021-05-01
2020-11-01,102,124,2021-05-01
2020-12-01,142,141,2021-05-01
2021-01-01,79,60,2021-05-01
2021-02-01,96,99,2021-05-01
