date,m2sa,access_date
1995-07-01,152.421631705831,2020-02-07
1995-08-01,162.907749085591,2020-02-07
1995-09-01,173.992730207673,2020-02-07
1995-10-01,183.80465670478,2020-02-07
1995-11-01,190.123430735127,2020-02-07
1995-12-01,200.390296577061,2020-02-07
1996-01-01,211.4619604449,2020-02-07
1996-02-01,220.146738511088,2020-02-07
1996-03-01,229.796536897686,2020-02-07
1996-04-01,242.985501529026,2020-02-07
1996-05-01,247.792218806871,2020-02-07
1996-06-01,252.145929148104,2020-02-07
1996-07-01,259.824051189652,2020-02-07
1996-08-01,268.467619739843,2020-02-07
1996-09-01,275.693841911858,2020-02-07
1996-10-01,282.345607589152,2020-02-07
1996-11-01,287.435569926961,2020-02-07
1996-12-01,289.657064440154,2020-02-07
1997-01-01,276.042370426756,2020-02-07
1997-02-01,294.520009648648,2020-02-07
1997-03-01,300.570329304085,2020-02-07
1997-04-01,307.705525607808,2020-02-07
1997-05-01,314.495210010333,2020-02-07
1997-06-01,325.777139612943,2020-02-07
1997-07-01,342.76190745835,2020-02-07
1997-08-01,358.498292691367,2020-02-07
1997-09-01,365.188840365077,2020-02-07
1997-10-01,370.646053718008,2020-02-07
1997-11-01,379.236459560274,2020-02-07
1997-12-01,365.55061916153,2020-02-07
1998-01-01,357.943887483999,2020-02-07
1998-02-01,370.931148262246,2020-02-07
1998-03-01,369.071755672398,2020-02-07
1998-04-01,367.570910593084,2020-02-07
1998-05-01,370.170550812743,2020-02-07
1998-06-01,372.828064116264,2020-02-07
1998-07-01,364.996466450881,2020-02-07
1998-08-01,360.858114415366,2020-02-07
1998-09-01,350.885468079579,2020-02-07
1998-10-01,380.902482242053,2020-02-07
1998-11-01,396.538581398744,2020-02-07
1998-12-01,415.374391582289,2020-02-07
1999-01-01,433.394677223255,2020-02-07
1999-02-01,458.641728550765,2020-02-07
1999-03-01,475.73971930432,2020-02-07
1999-04-01,487.107484495055,2020-02-07
1999-05-01,517.395987197863,2020-02-07
1999-06-01,549.629264376282,2020-02-07
1999-07-01,567.489153029471,2020-02-07
1999-08-01,588.330984066963,2020-02-07
1999-09-01,606.020679848672,2020-02-07
1999-10-01,620.471448315881,2020-02-07
1999-11-01,652.991745952197,2020-02-07
1999-12-01,674.34447584247,2020-02-07
2000-01-01,681.339446482254,2020-02-07
2000-02-01,723.256414546411,2020-02-07
2000-03-01,751.95734637331,2020-02-07
2000-04-01,777.773177117457,2020-02-07
2000-05-01,803.465173309665,2020-02-07
2000-06-01,844.126846886479,2020-02-07
2000-07-01,884.871940888892,2020-02-07
2000-08-01,938.611196172246,2020-02-07
2000-09-01,976.939307090658,2020-02-07
2000-10-01,1018.98266325982,2020-02-07
2000-11-01,1035.54957786881,2020-02-07
2000-12-01,1070.30839547095,2020-02-07
2001-01-01,1094.98048910446,2020-02-07
2001-02-01,1112.45705351426,2020-02-07
2001-03-01,1136.78716243923,2020-02-07
2001-04-01,1174.54711008496,2020-02-07
2001-05-01,1224.56919871398,2020-02-07
2001-06-01,1235.12444006264,2020-02-07
2001-07-01,1271.31083710169,2020-02-07
2001-08-01,1321.85286995221,2020-02-07
2001-09-01,1373.09245987647,2020-02-07
2001-10-01,1430.98804549417,2020-02-07
2001-11-01,1476.61167060288,2020-02-07
2001-12-01,1469.68396374939,2020-02-07
2002-01-01,1529.58974715581,2020-02-07
2002-02-01,1543.11275225492,2020-02-07
2002-03-01,1560.20762085897,2020-02-07
2002-04-01,1592.23510292658,2020-02-07
