date,gdp_current_price,access_date
2011-01-01,,2020-08-31
2011-04-01,,2020-08-31
2011-07-01,,2020-08-31
2011-10-01,,2020-08-31
2012-01-01,,2020-08-31
2012-04-01,,2020-08-31
2012-07-01,,2020-08-31
2012-10-01,,2020-08-31
2013-01-01,,2020-08-31
2013-04-01,,2020-08-31
2013-07-01,,2020-08-31
2013-10-01,,2020-08-31
2014-01-01,,2020-08-31
2014-04-01,,2020-08-31
2014-07-01,,2020-08-31
2014-10-01,,2020-08-31
2015-01-01,,2020-08-31
2015-04-01,,2020-08-31
2015-07-01,,2020-08-31
2015-10-01,,2020-08-31
2016-01-01,,2020-08-31
2016-04-01,,2020-08-31
2016-07-01,,2020-08-31
2016-10-01,,2020-08-31
2017-01-01,,2020-08-31
2017-04-01,,2020-08-31
2017-07-01,,2020-08-31
2017-10-01,,2020-08-31
2018-01-01,,2020-08-31
2018-04-01,,2020-08-31
2018-07-01,,2020-08-31
2018-10-01,,2020-08-31
2019-01-01,,2020-08-31
2019-04-01,,2020-08-31
2019-07-01,,2020-08-31
2019-10-01,,2020-08-31
