date,m2sa,access_date
1995-07-01,152.421696853358,2019-10-10
1995-08-01,162.90783060364,2019-10-10
1995-09-01,173.992765768737,2019-10-10
1995-10-01,183.804693834139,2019-10-10
1995-11-01,190.123489510324,2019-10-10
1995-12-01,200.390183047221,2019-10-10
1996-01-01,211.462032285717,2019-10-10
1996-02-01,220.146505016472,2019-10-10
1996-03-01,229.796430960831,2019-10-10
1996-04-01,242.985494674401,2019-10-10
1996-05-01,247.792247209331,2019-10-10
1996-06-01,252.145988072349,2019-10-10
1996-07-01,259.824159681871,2019-10-10
1996-08-01,268.467751443021,2019-10-10
1996-09-01,275.693893663689,2019-10-10
1996-10-01,282.345665797724,2019-10-10
1996-11-01,287.435646229312,2019-10-10
1996-12-01,289.656906936511,2019-10-10
1997-01-01,276.042470190939,2019-10-10
1997-02-01,294.519714607285,2019-10-10
1997-03-01,300.570193058608,2019-10-10
1997-04-01,307.70551506909,2019-10-10
1997-05-01,314.495243310127,2019-10-10
1997-06-01,325.777214950039,2019-10-10
1997-07-01,342.762037045698,2019-10-10
1997-08-01,358.498459663101,2019-10-10
1997-09-01,365.188902467839,2019-10-10
1997-10-01,370.646134987711,2019-10-10
1997-11-01,379.236530192196,2019-10-10
1997-12-01,365.550437416054,2019-10-10
1998-01-01,357.944036720734,2019-10-10
1998-02-01,370.930812513322,2019-10-10
1998-03-01,369.071590698392,2019-10-10
1998-04-01,367.570895073176,2019-10-10
1998-05-01,370.170591014211,2019-10-10
1998-06-01,372.82813990708,2019-10-10
1998-07-01,364.996582216995,2019-10-10
1998-08-01,360.858264382373,2019-10-10
1998-09-01,350.885525229063,2019-10-10
1998-10-01,380.902567340383,2019-10-10
1998-11-01,396.538640054675,2019-10-10
1998-12-01,415.374181023695,2019-10-10
1999-01-01,433.394898860614,2019-10-10
1999-02-01,458.6413648809,2019-10-10
1999-03-01,475.739521353019,2019-10-10
1999-04-01,487.107462509322,2019-10-10
1999-05-01,517.396044924978,2019-10-10
1999-06-01,549.629350788405,2019-10-10
1999-07-01,567.489297751106,2019-10-10
1999-08-01,588.331193023472,2019-10-10
1999-09-01,606.020763101573,2019-10-10
1999-10-01,620.471582520797,2019-10-10
1999-11-01,652.991821609325,2019-10-10
1999-12-01,674.344181396129,2019-10-10
2000-01-01,681.339747699071,2019-10-10
2000-02-01,723.256017862113,2019-10-10
2000-03-01,751.957074541655,2019-10-10
2000-04-01,777.773129996539,2019-10-10
2000-05-01,803.465249466031,2019-10-10
2000-06-01,844.126936196522,2019-10-10
2000-07-01,884.872115690313,2019-10-10
2000-08-01,938.611455887436,2019-10-10
2000-09-01,976.939444026585,2019-10-10
2000-10-01,1018.98285239037,2019-10-10
2000-11-01,1035.54969820406,2019-10-10
2000-12-01,1070.30797521428,2019-10-10
2001-01-01,1094.98088720978,2019-10-10
2001-02-01,1112.45670595181,2019-10-10
2001-03-01,1136.78684052256,2019-10-10
2001-04-01,1174.54702818439,2019-10-10
2001-05-01,1224.56927870671,2019-10-10
2001-06-01,1235.12450965077,2019-10-10
2001-07-01,1271.31103444283,2019-10-10
2001-08-01,1321.85313003655,2019-10-10
2001-09-01,1373.09264248894,2019-10-10
2001-10-01,1430.98825400342,2019-10-10
2001-11-01,1476.61181880355,2019-10-10
2001-12-01,1469.68356038004,2019-10-10
2002-01-01,1529.590082606,2019-10-10
2002-02-01,1543.11263914246,2019-10-10
2002-03-01,1560.20730954303,2019-10-10
2002-04-01,1592.23498577212,2019-10-10
2002-05-01,1636.93066918655,2019-10-10
2002-06-01,1692.85151293352,2019-10-10
2002-07-01,1721.71634565263,2019-10-10
2002-08-01,1771.62456461086,2019-10-10
2002-09-01,1822.52157652713,2019-10-10
2002-10-01,1865.68507963294,2019-10-10
2002-11-01,1937.71116505846,2019-10-10
2002-12-01,1976.76964680661,2019-10-10
2003-01-01,2023.26096519793,2019-10-10
2003-02-01,2073.84599458488,2019-10-10
2003-03-01,2152.07344542803,2019-10-10
2003-04-01,2238.82815987494,2019-10-10
2003-05-01,2333.68054202919,2019-10-10
2003-06-01,2438.90644235265,2019-10-10
2003-07-01,2553.30734782796,2019-10-10
2003-08-01,2616.28191167374,2019-10-10
2003-09-01,2695.66959335635,2019-10-10
2003-10-01,2752.53556503081,2019-10-10
2003-11-01,2814.11662654051,2019-10-10
2003-12-01,2891.61728412332,2019-10-10
2004-01-01,3042.30650876847,2019-10-10
2004-02-01,3259.26753291689,2019-10-10
2004-03-01,3380.34740814844,2019-10-10
2004-04-01,3431.96422806499,2019-10-10
2004-05-01,3483.75633929181,2019-10-10
2004-06-01,3502.43597899989,2019-10-10
2004-07-01,3576.41400787497,2019-10-10
2004-08-01,3604.92962582525,2019-10-10
2004-09-01,3654.74769391252,2019-10-10
2004-10-01,3726.82714330874,2019-10-10
2004-11-01,3881.03005754069,2019-10-10
2004-12-01,4018.48812482277,2019-10-10
2005-01-01,4133.03742804311,2019-10-10
2005-02-01,4237.78955741774,2019-10-10
2005-03-01,4366.24277419073,2019-10-10
2005-04-01,4479.32690533717,2019-10-10
2005-05-01,4589.74738041363,2019-10-10
2005-06-01,4659.54380666325,2019-10-10
2005-07-01,4791.94183239877,2019-10-10
2005-08-01,4955.24684895039,2019-10-10
2005-09-01,5131.85638616481,2019-10-10
2005-10-01,5285.50837082307,2019-10-10
2005-11-01,5439.38521385419,2019-10-10
2005-12-01,5552.30137830229,2019-10-10
2006-01-01,5726.09632336387,2019-10-10
2006-02-01,5883.92118768158,2019-10-10
2006-03-01,5977.5941724203,2019-10-10
2006-04-01,6155.17299024265,2019-10-10
2006-05-01,6348.79570053678,2019-10-10
2006-06-01,6632.6522385416,2019-10-10
2006-07-01,6893.67238101417,2019-10-10
2006-08-01,7189.02584497071,2019-10-10
2006-09-01,7446.18660600119,2019-10-10
2006-10-01,7744.58988422846,2019-10-10
2006-11-01,7962.86172937538,2019-10-10
2006-12-01,8182.62986213098,2019-10-10
2007-01-01,8516.35297928469,2019-10-10
2007-02-01,8734.92148523007,2019-10-10
2007-03-01,8970.35755755878,2019-10-10
2007-04-01,9376.73746581516,2019-10-10
2007-05-01,9985.16632604421,2019-10-10
2007-06-01,10613.7161554348,2019-10-10
2007-07-01,10608.1659074726,2019-10-10
2007-08-01,10896.2994570599,2019-10-10
2007-09-01,11184.1340188519,2019-10-10
2007-10-01,11507.1256928526,2019-10-10
2007-11-01,11707.9023895139,2019-10-10
2007-12-01,12064.5955090922,2019-10-10
2008-01-01,12213.6979530953,2019-10-10
2008-02-01,12558.988767549,2019-10-10
2008-03-01,12763.9023627396,2019-10-10
2008-04-01,12950.2590770605,2019-10-10
2008-05-01,12961.9871078343,2019-10-10
2008-06-01,13233.204522472,2019-10-10
2008-07-01,13603.6472376022,2019-10-10
2008-08-01,13879.9158587459,2019-10-10
2008-09-01,14286.2545828365,2019-10-10
2008-10-01,14134.5235258636,2019-10-10
2008-11-01,13558.5838402412,2019-10-10
2008-12-01,13169.7464323162,2019-10-10
2009-01-01,12312.0331367678,2019-10-10
2009-02-01,11438.5723029027,2019-10-10
2009-03-01,11515.3461967433,2019-10-10
2009-04-01,11547.5293492208,2019-10-10
2009-05-01,11838.4075009429,2019-10-10
2009-06-01,12272.007979474,2019-10-10
2009-07-01,12469.1560486797,2019-10-10
2009-08-01,12670.7358914176,2019-10-10
2009-09-01,12896.980981208,2019-10-10
2009-10-01,13222.6913793084,2019-10-10
2009-11-01,13770.5562269316,2019-10-10
2009-12-01,14059.0597784976,2019-10-10
2010-01-01,14478.4420118261,2019-10-10
2010-02-01,14875.7515205129,2019-10-10
2010-03-01,15248.3522324761,2019-10-10
2010-04-01,15572.8599536635,2019-10-10
2010-05-01,16076.2924686603,2019-10-10
2010-06-01,16420.1197236176,2019-10-10
2010-07-01,16705.5511682206,2019-10-10
2010-08-01,17143.231311356,2019-10-10
2010-09-01,17597.5716727094,2019-10-10
2010-10-01,17900.4526587013,2019-10-10
2010-11-01,18376.0633946257,2019-10-10
2010-12-01,18715.7035200143,2019-10-10
2011-01-01,18968.2574332901,2019-10-10
2011-02-01,19229.5812842961,2019-10-10
2011-03-01,19494.0845998927,2019-10-10
2011-04-01,19690.8602049418,2019-10-10
2011-05-01,19964.7849946206,2019-10-10
2011-06-01,20136.1606059159,2019-10-10
2011-07-01,20540.8391857905,2019-10-10
2011-08-01,20922.1596447391,2019-10-10
2011-09-01,21263.7459569022,2019-10-10
2011-10-01,21774.3186169169,2019-10-10
