date,deflator_gdp,access_date
2012-01-01,110.275685191791,2020-11-10
2012-04-01,108.58879824944,2020-11-10
2012-07-01,108.713441648583,2020-11-10
2012-10-01,108.381035996099,2020-11-10
2013-01-01,106.61503322738,2020-11-10
2013-04-01,104.719935233768,2020-11-10
2013-07-01,105.674461306082,2020-11-10
2013-10-01,104.457299482637,2020-11-10
2014-01-01,105.801203589058,2020-11-10
2014-04-01,108.174587075826,2020-11-10
2014-07-01,106.609115126215,2020-11-10
2014-10-01,109.066655185737,2020-11-10
2015-01-01,108.337830237252,2020-11-10
2015-04-01,107.020888411825,2020-11-10
2015-07-01,107.895936504288,2020-11-10
2015-10-01,105.986383155712,2020-11-10
2016-01-01,102.470641981916,2020-11-10
2016-04-01,103.218984970873,2020-11-10
2016-07-01,101.989670455375,2020-11-10
2016-10-01,103.618318375405,2020-11-10
2017-01-01,107.594736517893,2020-11-10
2017-04-01,104.710503618485,2020-11-10
2017-07-01,103.927124465985,2020-11-10
2017-10-01,105.462809332763,2020-11-10
2018-01-01,108.557408389349,2020-11-10
2018-04-01,112.191657781623,2020-11-10
2018-07-01,113.174124288492,2020-11-10
2018-10-01,110.295419180736,2020-11-10
2019-01-01,108.769994225144,2020-11-10
2019-04-01,103.518074562789,2020-11-10
2019-07-01,103.375947223437,2020-11-10
2019-10-01,100.512437326208,2020-11-10
2020-01-01,99.8641547415807,2020-11-10
2020-04-01,95.8739414870058,2020-11-10
