date,m2sa,access_date
1995-07-01,152.421631706164,2020-03-18
1995-08-01,162.907749083909,2020-03-18
1995-09-01,173.992730209743,2020-03-18
1995-10-01,183.804656707332,2020-03-18
1995-11-01,190.123430740998,2020-03-18
1995-12-01,200.390296580781,2020-03-18
1996-01-01,211.461960447824,2020-03-18
1996-02-01,220.146738511987,2020-03-18
1996-03-01,229.79653689632,2020-03-18
1996-04-01,242.98550152452,2020-03-18
1996-05-01,247.792218802948,2020-03-18
1996-06-01,252.145929135805,2020-03-18
1996-07-01,259.824051190119,2020-03-18
1996-08-01,268.467619737305,2020-03-18
1996-09-01,275.693841915391,2020-03-18
1996-10-01,282.345607594266,2020-03-18
1996-11-01,287.435569937778,2020-03-18
1996-12-01,289.657064447567,2020-03-18
1997-01-01,276.042370431383,2020-03-18
1997-02-01,294.52000964924,2020-03-18
1997-03-01,300.570329301051,2020-03-18
1997-04-01,307.705525600708,2020-03-18
1997-05-01,314.495210004984,2020-03-18
1997-06-01,325.777139593017,2020-03-18
1997-07-01,342.76190745512,2020-03-18
1997-08-01,358.498292683112,2020-03-18
1997-09-01,365.1888403667,2020-03-18
1997-10-01,370.646053727358,2020-03-18
1997-11-01,379.236459582224,2020-03-18
1997-12-01,365.550619185035,2020-03-18
1998-01-01,357.943887504603,2020-03-18
1998-02-01,370.931148276616,2020-03-18
1998-03-01,369.07175564113,2020-03-18
1998-04-01,367.570910593865,2020-03-18
1998-05-01,370.170550787352,2020-03-18
1998-06-01,372.828064084761,2020-03-18
1998-07-01,364.996466433502,2020-03-18
1998-08-01,360.858114393433,2020-03-18
1998-09-01,350.885468074893,2020-03-18
1998-10-01,380.902482260662,2020-03-18
1998-11-01,396.538581448169,2020-03-18
1998-12-01,415.374391647872,2020-03-18
1999-01-01,433.394677283612,2020-03-18
1999-02-01,458.64172859015,2020-03-18
1999-03-01,475.739719221233,2020-03-18
1999-04-01,487.107484495888,2020-03-18
1999-05-01,517.395987115464,2020-03-18
1999-06-01,549.629264297377,2020-03-18
1999-07-01,567.489152960345,2020-03-18
1999-08-01,588.330983993477,2020-03-18
1999-09-01,606.020679807603,2020-03-18
1999-10-01,620.471448335503,2020-03-18
1999-11-01,652.991746223709,2020-03-18
1999-12-01,674.344476018881,2020-03-18
2000-01-01,681.339446653008,2020-03-18
2000-02-01,723.256414659052,2020-03-18
2000-03-01,751.957346171376,2020-03-18
2000-04-01,777.77317708741,2020-03-18
2000-05-01,803.465173077407,2020-03-18
2000-06-01,844.126846673026,2020-03-18
2000-07-01,884.871940632451,2020-03-18
2000-08-01,938.611195900161,2020-03-18
2000-09-01,976.939306949048,2020-03-18
2000-10-01,1018.98266328106,2020-03-18
2000-11-01,1035.54957850172,2020-03-18
2000-12-01,1070.30839599693,2020-03-18
2001-01-01,1094.98049023624,2020-03-18
2001-02-01,1112.4570539963,2020-03-18
2001-03-01,1136.78716156712,2020-03-18
2001-04-01,1174.54711010931,2020-03-18
2001-05-01,1224.56919834538,2020-03-18
2001-06-01,1235.1244396219,2020-03-18
2001-07-01,1271.31083571014,2020-03-18
2001-08-01,1321.85286862689,2020-03-18
2001-09-01,1373.09245810771,2020-03-18
2001-10-01,1430.98804549083,2020-03-18
2001-11-01,1476.61167192493,2020-03-18
2001-12-01,1469.68396661374,2020-03-18
2002-01-01,1529.5897528421,2020-03-18
2002-02-01,1543.11275556369,2020-03-18
2002-03-01,1560.20761909428,2020-03-18
2002-04-01,1592.23510143448,2020-03-18
2002-05-01,1636.9306041915,2020-03-18
2002-06-01,1692.85148689852,2020-03-18
2002-07-01,1721.71615435672,2020-03-18
2002-08-01,1771.6243482394,2020-03-18
2002-09-01,1822.52137309034,2020-03-18
2002-10-01,1865.68488522195,2020-03-18
2002-11-01,1937.71094931964,2020-03-18
2002-12-01,1976.77007739601,2020-03-18
2003-01-01,2023.26058246068,2020-03-18
2003-02-01,2073.84596074583,2020-03-18
2003-03-01,2152.07368742553,2020-03-18
2003-04-01,2238.82828668649,2020-03-18
2003-05-01,2333.68049496086,2020-03-18
2003-06-01,2438.90641057087,2020-03-18
2003-07-01,2553.30705001303,2020-03-18
2003-08-01,2616.28168356525,2020-03-18
2003-09-01,2695.66947183563,2020-03-18
2003-10-01,2752.53551339832,2020-03-18
2003-11-01,2814.11654371753,2020-03-18
2003-12-01,2891.61779730447,2020-03-18
2004-01-01,3042.30568244282,2020-03-18
2004-02-01,3259.26753752532,2020-03-18
2004-03-01,3380.34754251812,2020-03-18
2004-04-01,3431.96427197169,2020-03-18
2004-05-01,3483.75606987436,2020-03-18
2004-06-01,3502.43579609949,2020-03-18
2004-07-01,3576.41324900485,2020-03-18
2004-08-01,3604.92926626068,2020-03-18
2004-09-01,3654.74787560972,2020-03-18
2004-10-01,3726.82784270723,2020-03-18
2004-11-01,3881.03102962797,2020-03-18
2004-12-01,4018.48955345423,2020-03-18
2005-01-01,4133.03454401357,2020-03-18
2005-02-01,4237.79005117926,2020-03-18
2005-03-01,4366.24268786157,2020-03-18
2005-04-01,4479.32638875657,2020-03-18
2005-05-01,4589.7454991955,2020-03-18
2005-06-01,4659.54298931383,2020-03-18
2005-07-01,4791.94015023612,2020-03-18
2005-08-01,4955.24650407766,2020-03-18
2005-09-01,5131.85842181281,2020-03-18
2005-10-01,5285.51414427147,2020-03-18
2005-11-01,5439.38878951775,2020-03-18
2005-12-01,5552.30331404436,2020-03-18
2006-01-01,5726.0877988963,2020-03-18
2006-02-01,5883.92086724655,2020-03-18
2006-03-01,5977.59238696874,2020-03-18
2006-04-01,6155.17079697813,2020-03-18
2006-05-01,6348.78955203142,2020-03-18
2006-06-01,6632.64872589183,2020-03-18
2006-07-01,6893.6705017038,2020-03-18
2006-08-01,7189.02910247742,2020-03-18
2006-09-01,7446.19612154322,2020-03-18
2006-10-01,7744.60559741106,2020-03-18
2006-11-01,7962.88627164973,2020-03-18
2006-12-01,8182.6234978167,2020-03-18
2007-01-01,8516.32661558844,2020-03-18
2007-02-01,8734.9148343935,2020-03-18
2007-03-01,8970.35102500503,2020-03-18
2007-04-01,9376.72885442434,2020-03-18
2007-05-01,9985.14459732849,2020-03-18
2007-06-01,10613.6971114097,2020-03-18
2007-07-01,10608.1602126177,2020-03-18
2007-08-01,10896.3164395799,2020-03-18
2007-09-01,11184.1755575724,2020-03-18
2007-10-01,11507.2025245866,2020-03-18
2007-11-01,11707.971888696,2020-03-18
2007-12-01,12064.5616405406,2020-03-18
2008-01-01,12213.6263252849,2020-03-18
2008-02-01,12558.9534752522,2020-03-18
2008-03-01,12763.8771522441,2020-03-18
2008-04-01,12950.2335009991,2020-03-18
2008-05-01,12961.932975303,2020-03-18
2008-06-01,13233.1367103836,2020-03-18
2008-07-01,13603.6242754139,2020-03-18
2008-08-01,13879.9730699467,2020-03-18
2008-09-01,14286.3714331561,2020-03-18
2008-10-01,14134.7241572613,2020-03-18
2008-11-01,13558.7740695146,2020-03-18
2008-12-01,13169.7758899052,2020-03-18
2009-01-01,12311.7293145538,2020-03-18
2009-02-01,11438.5786077969,2020-03-18
2009-03-01,11515.3217721783,2020-03-18
2009-04-01,11547.4535560116,2020-03-18
2009-05-01,11838.2802416145,2020-03-18
2009-06-01,12271.8482703515,2020-03-18
2009-07-01,12469.0652746774,2020-03-18
2009-08-01,12670.7956616465,2020-03-18
2009-09-01,12897.4137517675,2020-03-18
2009-10-01,13223.0429842138,2020-03-18
2009-11-01,13770.8769818153,2020-03-18
2009-12-01,14059.1708277464,2020-03-18
2010-01-01,14477.7756681078,2020-03-18
2010-02-01,14875.745032373,2020-03-18
2010-03-01,15248.2772876405,2020-03-18
2010-04-01,15572.6216516417,2020-03-18
