date,gdp_2016_price,access_date
14975,18440.083541412,2020-06-29
15065,19714.7983836423,2020-06-29
15156,20978.4241456063,2020-06-29
15248,22617.2640036255,2020-06-29
15340,19492.3081064737,2020-06-29
15431,20672.4469778873,2020-06-29
15522,21711.5749787369,2020-06-29
15614,23163.953384963,2020-06-29
15706,19712.5306261595,2020-06-29
15796,21028.1037790257,2020-06-29
15887,22039.0924653798,2020-06-29
15979,23753.3725488541,2020-06-29
16071,19703.1220823644,2020-06-29
16161,21144.8082868644,2020-06-29
16252,22348.6641551503,2020-06-29
16344,23973.6197417299,2020-06-29
16436,19361.6872098271,2020-06-29
16526,20556.7233370853,2020-06-29
16617,21980.8550008175,2020-06-29
16709,23716.8182670087,2020-06-29
16801,19615.8386209698,2020-06-29
16892,21038.5281270306,2020-06-29
16983,22560.9980814094,2020-06-29
17075,23963.9054172014,2020-06-29
17167,20052.5300999425,2020-06-29
17257,21582.578719333,2020-06-29
17348,23120.7940862981,2020-06-29
17440,24634.5224606763,2020-06-29
17532,20129.9965706423,2020-06-29
17622,21828.229555481,2020-06-29
17713,23476.7475296908,2020-06-29
17805,25154.9598747282,2020-06-29
17897,20458.6917208007,2020-06-29
