date,in_res,nfa_cb,for_cur,sdr,mvf_pos,mon_gold,access_date
18048,495232,405351,394923,6678,3750,89882,2020-06-29
18078,518363,418086,407618,6745,3723,100278,2020-06-29
18109,519797,417874,407205,6679,3990,101923,2020-06-29
18140,529083,419606,409005,6638,3963,109477,2020-06-29
18170,530923,423077,412507,6618,3952,107846,2020-06-29
18201,540917,433015,422313,6701,4001,107903,2020-06-29
18231,542029,436132,425577,6664,3891,105896,2020-06-29
18262,554359,443983,433297,6717,3970,110376,2020-06-29
18293,562306,446488,435841,6693,3955,115818,2020-06-29
18322,570381,450629,440019,6671,3940,119752,2020-06-29
18353,563473,443634,433099,6631,3904,119840,2020-06-29
18383,566012,439927,429156,6639,4133,126084,2020-06-29
18414,566134,438568,427469,6663,4436,127566,2020-06-29
