date,import,export,access_date
9862,231,220,2020-06-29
9893,226,227,2020-06-29
9921,237,234,2020-06-29
9952,233,248,2020-06-29
9982,229,231,2020-06-29
10013,232,240,2020-06-29
10043,239,253,2020-06-29
10074,234,246,2020-06-29
10105,235,249,2020-06-29
10135,244,259,2020-06-29
10166,254,256,2020-06-29
10196,265,269,2020-06-29
10227,213,236,2020-06-29
10258,211,243,2020-06-29
10286,228,254,2020-06-29
10317,220,247,2020-06-29
10347,218,237,2020-06-29
10378,224,238,2020-06-29
10408,230,232,2020-06-29
10439,221,222,2020-06-29
10470,222,177,2020-06-29
10500,216,167,2020-06-29
10531,214,168,2020-06-29
10561,236,198,2020-06-29
10592,169,132,2020-06-29
10623,194,156,2020-06-29
10651,210,193,2020-06-29
10682,219,185,2020-06-29
10712,204,151,2020-06-29
10743,208,204,2020-06-29
10773,215,181,2020-06-29
10804,212,170,2020-06-29
10835,217,172,2020-06-29
10865,227,188,2020-06-29
10896,238,194,2020-06-29
10926,270,203,2020-06-29
10957,227,150,2020-06-29
10988,241,190,2020-06-29
11017,266,197,2020-06-29
11048,243,186,2020-06-29
11078,250,187,2020-06-29
11109,258,195,2020-06-29
11139,255,196,2020-06-29
11170,263,202,2020-06-29
11201,260,199,2020-06-29
11231,259,206,2020-06-29
11262,276,209,2020-06-29
11292,278,219,2020-06-29
11323,249,182,2020-06-29
11354,247,201,2020-06-29
11382,261,208,2020-06-29
11413,251,210,2020-06-29
11443,256,212,2020-06-29
11474,264,215,2020-06-29
11504,242,211,2020-06-29
11535,262,213,2020-06-29
11566,252,207,2020-06-29
11596,240,218,2020-06-29
11627,248,223,2020-06-29
11657,245,235,2020-06-29
11688,225,200,2020-06-29
11719,223,205,2020-06-29
11747,253,214,2020-06-29
11778,269,224,2020-06-29
11808,257,216,2020-06-29
11839,246,221,2020-06-29
11869,268,229,2020-06-29
11900,275,226,2020-06-29
11931,272,225,2020-06-29
11961,274,239,2020-06-29
11992,267,233,2020-06-29
12022,2,252,2020-06-29
12053,271,217,2020-06-29
12084,273,228,2020-06-29
12112,7,242,2020-06-29
12143,277,245,2020-06-29
12173,279,241,2020-06-29
12204,1,244,2020-06-29
12234,3,257,2020-06-29
12265,8,250,2020-06-29
12296,6,251,2020-06-29
12326,10,260,2020-06-29
12357,5,258,2020-06-29
12387,12,270,2020-06-29
12418,4,230,2020-06-29
12449,9,255,2020-06-29
12478,13,264,2020-06-29
12509,15,263,2020-06-29
12539,11,262,2020-06-29
12570,16,265,2020-06-29
12600,17,268,2020-06-29
