date,deflator_gdp,access_date
15340,110.275685191791,2020-06-29
15431,108.58879824944,2020-06-29
15522,108.713441648583,2020-06-29
15614,108.381035996099,2020-06-29
15706,106.61503322738,2020-06-29
15796,104.719935233768,2020-06-29
15887,105.674461306082,2020-06-29
15979,104.457299482637,2020-06-29
16071,105.801203589058,2020-06-29
16161,108.174587075826,2020-06-29
16252,106.609115126215,2020-06-29
16344,109.066655185737,2020-06-29
16436,108.337830237252,2020-06-29
16526,107.020888411825,2020-06-29
16617,107.895936504288,2020-06-29
16709,105.986383155712,2020-06-29
16801,102.470641981916,2020-06-29
16892,103.218984970873,2020-06-29
16983,101.989670455375,2020-06-29
17075,103.618318375405,2020-06-29
17167,107.594736517893,2020-06-29
17257,104.710503618485,2020-06-29
17348,103.927124465985,2020-06-29
17440,105.462809332763,2020-06-29
17532,108.557408389349,2020-06-29
17622,112.191657781623,2020-06-29
17713,113.174124288492,2020-06-29
17805,110.295419180736,2020-06-29
17897,108.769994225144,2020-06-29
17987,103.518074562789,2020-06-29
18078,103.375947223437,2020-06-29
18170,100.512437326208,2020-06-29
18262,99.8641547415807,2020-06-29
