date,budget,access_date
17379,400.7,2020-06-29
17410,389.4,2020-06-29
17440,697.2,2020-06-29
17471,370.3,2020-06-29
17501,-1349.1,2020-06-29
17532,416.5,2020-06-29
17563,309.2,2020-06-29
17591,712.7,2020-06-29
17622,799.1,2020-06-29
17652,1276.1,2020-06-29
17683,1514.7,2020-06-29
17713,2456.8,2020-06-29
17744,2999.3,2020-06-29
17775,3434.1,2020-06-29
17805,4366.1,2020-06-29
17836,4625.5,2020-06-29
