date,gdp_current_price,access_date
14975,,2020-06-29
15065,,2020-06-29
15156,,2020-06-29
15248,,2020-06-29
15340,,2020-06-29
15431,,2020-06-29
15522,,2020-06-29
15614,,2020-06-29
15706,,2020-06-29
15796,,2020-06-29
15887,,2020-06-29
15979,,2020-06-29
16071,,2020-06-29
16161,,2020-06-29
16252,,2020-06-29
16344,,2020-06-29
16436,,2020-06-29
16526,,2020-06-29
16617,,2020-06-29
16709,,2020-06-29
16801,,2020-06-29
16892,,2020-06-29
16983,,2020-06-29
17075,,2020-06-29
17167,,2020-06-29
17257,,2020-06-29
17348,,2020-06-29
17440,,2020-06-29
17532,,2020-06-29
17622,,2020-06-29
17713,,2020-06-29
17805,,2020-06-29
17897,,2020-06-29
17987,,2020-06-29
18078,,2020-06-29
18170,,2020-06-29
