date,deflator_gdp_early,access_date
9496,185.134680475662,2020-06-29
9587,149.586779402391,2020-06-29
9678,137.948674472762,2020-06-29
9770,130.127171358859,2020-06-29
9862,121.008976991342,2020-06-29
9952,119.489821163561,2020-06-29
10043,112.343469649307,2020-06-29
10135,109.430487388259,2020-06-29
10227,109.132265756775,2020-06-29
10317,109.614711663567,2020-06-29
10408,116.820656606346,2020-06-29
10500,137.508180190264,2020-06-29
10592,166.641691561875,2020-06-29
10682,177.252070982132,2020-06-29
10773,182.37521378256,2020-06-29
10865,161.244999264364,2020-06-29
10957,152.08864641361,2020-06-29
11048,139.732904017761,2020-06-29
11139,134.255212026495,2020-06-29
11231,130.429556128326,2020-06-29
11323,118.879182591224,2020-06-29
11413,118.103859558859,2020-06-29
11504,115.141328817607,2020-06-29
11596,114.664048469864,2020-06-29
11688,114.652960869369,2020-06-29
11778,115.057287185719,2020-06-29
11869,115.963257102006,2020-06-29
11961,116.379669709202,2020-06-29
12053,117.12614798836,2020-06-29
12143,113.830836501963,2020-06-29
12234,113.430783887738,2020-06-29
12326,112.094918706246,2020-06-29
12418,114.982496238465,2020-06-29
12509,118.529047547229,2020-06-29
12600,118.895759566408,2020-06-29
12692,127.387918294811,2020-06-29
12784,120.123356840953,2020-06-29
12874,120.601300276927,2020-06-29
12965,120.078142605786,2020-06-29
13057,116.833298055606,2020-06-29
13149,121.090575052894,2020-06-29
13239,116.031012874551,2020-06-29
13330,115.051057378199,2020-06-29
13422,110.31082818875,2020-06-29
13514,108.302796645437,2020-06-29
13604,112.297969690173,2020-06-29
13695,113.11566901577,2020-06-29
13787,119.952320827229,2020-06-29
13879,119.930012840749,2020-06-29
13970,122.156879341607,2020-06-29
14061,121.834045240104,2020-06-29
14153,109.840656543991,2020-06-29
14245,103.397691678631,2020-06-29
14335,101.629717568342,2020-06-29
14426,98.7111353198024,2020-06-29
14518,104.566503519562,2020-06-29
14610,115.240919725675,2020-06-29
14700,113.08265480852,2020-06-29
14791,111.811288961842,2020-06-29
14883,116.570444580854,2020-06-29
14975,115.801484785899,2020-06-29
15065,117.972072578487,2020-06-29
15156,116.040495514725,2020-06-29
15248,114.129506493514,2020-06-29
