date,cpi,access_date
2006 сен,100.09,2019-12-11
2006 окт,100.28,2019-12-11
2006 ноя,100.63,2019-12-11
2006 дек,100.79,2019-12-11
2007 янв,101.68,2019-12-11
2007 фев,101.11,2019-12-11
2007 мар,100.59,2019-12-11
2007 апр,100.57,2019-12-11
2007 май,100.63,2019-12-11
2007 июн,100.95,2019-12-11
2007 июл,100.87,2019-12-11
2007 авг,100.09,2019-12-11
2007 сен,100.79,2019-12-11
2007 окт,101.64,2019-12-11
2007 ноя,101.23,2019-12-11
2007 дек,101.13,2019-12-11
2008 янв,102.31,2019-12-11
2008 фев,101.2,2019-12-11
2008 мар,101.2,2019-12-11
2008 апр,101.42,2019-12-11
2008 май,101.35,2019-12-11
2008 июн,100.97,2019-12-11
2008 июл,100.51,2019-12-11
2008 авг,100.36,2019-12-11
2008 сен,100.8,2019-12-11
2008 окт,100.91,2019-12-11
2008 ноя,100.83,2019-12-11
2008 дек,100.69,2019-12-11
2009 янв,102.37,2019-12-11
2009 фев,101.65,2019-12-11
2009 мар,101.31,2019-12-11
2009 апр,100.69,2019-12-11
2009 май,100.57,2019-12-11
2009 июн,100.6,2019-12-11
2009 июл,100.63,2019-12-11
2009 авг,100,2019-12-11
2009 сен,99.97,2019-12-11
2009 окт,100,2019-12-11
2009 ноя,100.29,2019-12-11
2009 дек,100.41,2019-12-11
2010 янв,101.64,2019-12-11
2010 фев,100.86,2019-12-11
2010 мар,100.63,2019-12-11
2010 апр,100.29,2019-12-11
2010 май,100.5,2019-12-11
2010 июн,100.39,2019-12-11
2010 июл,100.36,2019-12-11
2010 авг,100.55,2019-12-11
2010 сен,100.84,2019-12-11
2010 окт,100.5,2019-12-11
2010 ноя,100.81,2019-12-11
2010 дек,101.08,2019-12-11
2011 янв,102.37,2019-12-11
2011 фев,100.78,2019-12-11
2011 мар,100.62,2019-12-11
2011 апр,100.43,2019-12-11
2011 май,100.48,2019-12-11
2011 июн,100.23,2019-12-11
2011 июл,99.99,2019-12-11
2011 авг,99.76,2019-12-11
2011 сен,99.96,2019-12-11
2011 окт,100.48,2019-12-11
2011 ноя,100.42,2019-12-11
2011 дек,100.44,2019-12-11
2012 янв,100.5,2019-12-11
2012 фев,100.37,2019-12-11
2012 мар,100.58,2019-12-11
2012 апр,100.31,2019-12-11
2012 май,100.52,2019-12-11
2012 июн,100.89,2019-12-11
2012 июл,101.23,2019-12-11
2012 авг,100.1,2019-12-11
2012 сен,100.55,2019-12-11
2012 окт,100.46,2019-12-11
2012 ноя,100.34,2019-12-11
2012 дек,100.54,2019-12-11
2013 янв,100.97,2019-12-11
2013 фев,100.56,2019-12-11
2013 мар,100.34,2019-12-11
2013 апр,100.51,2019-12-11
2013 май,100.66,2019-12-11
2013 июн,100.42,2019-12-11
2013 июл,100.82,2019-12-11
2013 авг,100.14,2019-12-11
2013 сен,100.21,2019-12-11
2013 окт,100.57,2019-12-11
2013 ноя,100.56,2019-12-11
2013 дек,100.51,2019-12-11
2014 янв,100.59,2019-12-11
2014 фев,100.7,2019-12-11
2014 мар,101.02,2019-12-11
2014 апр,100.9,2019-12-11
2014 май,100.9,2019-12-11
2014 июн,100.62,2019-12-11
2014 июл,100.49,2019-12-11
2014 авг,100.24,2019-12-11
2014 сен,100.65,2019-12-11
2014 окт,100.82,2019-12-11
2014 ноя,101.28,2019-12-11
2014 дек,102.62,2019-12-11
2015 янв,103.85,2019-12-11
2015 фев,102.22,2019-12-11
2015 мар,101.21,2019-12-11
2015 апр,100.46,2019-12-11
2015 май,100.35,2019-12-11
2015 июн,100.19,2019-12-11
2015 июл,100.8,2019-12-11
2015 авг,100.35,2019-12-11
2015 сен,100.57,2019-12-11
2015 окт,100.74,2019-12-11
2015 ноя,100.75,2019-12-11
2015 дек,100.77,2019-12-11
2016 янв,100.96,2019-12-11
2016 фев,100.63,2019-12-11
2016 мар,100.46,2019-12-11
2016 апр,100.44,2019-12-11
2016 май,100.41,2019-12-11
2016 июн,100.36,2019-12-11
2016 июл,100.54,2019-12-11
2016 авг,100.01,2019-12-11
2016 сен,100.17,2019-12-11
2016 окт,100.43,2019-12-11
2016 ноя,100.44,2019-12-11
2016 дек,100.4,2019-12-11
2017 янв,100.62,2019-12-11
2017 фев,100.22,2019-12-11
2017 мар,100.13,2019-12-11
