date,in_res,nfa_cb,for_cur,sdr,mvf_pos,mon_gold,access_date
2019-01-01,468495,381592,371733,6737,3122,86903,2020-01-25
2019-02-01,475945,386485,376601,6792,3093,89460,2020-01-25
2019-03-01,482610,390969,380767,6770,3431,91641,2020-01-25
2019-04-01,487803,397792,387653,6730,3409,90011,2020-01-25
2019-05-01,491088,401080,390579,6724,3777,90008,2020-01-25
2019-06-01,495232,405351,394923,6678,3750,89882,2020-01-25
2019-07-01,518363,418086,407618,6745,3723,100278,2020-01-25
2019-08-01,519797,417874,407205,6679,3990,101923,2020-01-25
2019-09-01,529083,419606,409005,6638,3963,109477,2020-01-25
2019-10-01,530923,423077,412507,6618,3952,107846,2020-01-25
2019-11-01,540917,433015,422313,6701,4001,107903,2020-01-25
2019-12-01,542029,436132,425577,6664,3891,105896,2020-01-25
2020-01-01,554359,443983,433297,6717,3970,110376,2020-01-25
