date,m2sa,access_date
1995-07-01,152.421631705832,2020-01-25
1995-08-01,162.907749085466,2020-01-25
1995-09-01,173.992730207855,2020-01-25
1995-10-01,183.804656705007,2020-01-25
1995-11-01,190.123430735656,2020-01-25
1995-12-01,200.390296577492,2020-01-25
1996-01-01,211.461960445479,2020-01-25
1996-02-01,220.146738511558,2020-01-25
1996-03-01,229.796536897744,2020-01-25
1996-04-01,242.985501528472,2020-01-25
1996-05-01,247.792218806086,2020-01-25
1996-06-01,252.145929146501,2020-01-25
1996-07-01,259.824051189543,2020-01-25
1996-08-01,268.467619739601,2020-01-25
1996-09-01,275.69384191213,2020-01-25
1996-10-01,282.345607589542,2020-01-25
1996-11-01,287.435569927839,2020-01-25
1996-12-01,289.657064440883,2020-01-25
1997-01-01,276.042370427693,2020-01-25
1997-02-01,294.520009649573,2020-01-25
1997-03-01,300.570329304767,2020-01-25
1997-04-01,307.705525608142,2020-01-25
1997-05-01,314.495210010444,2020-01-25
1997-06-01,325.777139610849,2020-01-25
1997-07-01,342.761907456619,2020-01-25
1997-08-01,358.49829268778,2020-01-25
1997-09-01,365.188840359993,2020-01-25
1997-10-01,370.646053713749,2020-01-25
1997-11-01,379.236459561154,2020-01-25
1997-12-01,365.550619167731,2020-01-25
1998-01-01,357.943887493187,2020-01-25
1998-02-01,370.931148271366,2020-01-25
1998-03-01,369.071755678387,2020-01-25
1998-04-01,367.570910598134,2020-01-25
1998-05-01,370.170550807461,2020-01-25
1998-06-01,372.828064110879,2020-01-25
1998-07-01,364.996466440556,2020-01-25
1998-08-01,360.858114400134,2020-01-25
1998-09-01,350.885468060117,2020-01-25
1998-10-01,380.90248222661,2020-01-25
1998-11-01,396.538581402083,2020-01-25
1998-12-01,415.3743916079,2020-01-25
1999-01-01,433.394677262823,2020-01-25
1999-02-01,458.641728588627,2020-01-25
1999-03-01,475.739719328461,2020-01-25
1999-04-01,487.107484508501,2020-01-25
1999-05-01,517.395987174536,2020-01-25
1999-06-01,549.629264349682,2020-01-25
1999-07-01,567.489152980391,2020-01-25
1999-08-01,588.330984002576,2020-01-25
1999-09-01,606.020679765522,2020-01-25
1999-10-01,620.47144825584,2020-01-25
1999-11-01,652.991745989791,2020-01-25
1999-12-01,674.344475944321,2020-01-25
2000-01-01,681.339446634441,2020-01-25
2000-02-01,723.256414687081,2020-01-25
2000-03-01,751.957346447929,2020-01-25
2000-04-01,777.773177116582,2020-01-25
2000-05-01,803.465173189295,2020-01-25
2000-06-01,844.126846763727,2020-01-25
2000-07-01,884.871940700303,2020-01-25
2000-08-01,938.611195964015,2020-01-25
2000-09-01,976.939306982159,2020-01-25
2000-10-01,1018.9826632508,2020-01-25
2000-11-01,1035.54957798578,2020-01-25
2000-12-01,1070.30839551602,2020-01-25
2001-01-01,1094.98049033752,2020-01-25
2001-02-01,1112.45705355465,2020-01-25
2001-03-01,1136.78716219016,2020-01-25
2001-04-01,1174.54710964585,2020-01-25
2001-05-01,1224.56919813374,2020-01-25
2001-06-01,1235.12443970446,2020-01-25
2001-07-01,1271.3108362846,2020-01-25
2001-08-01,1321.852870096,2020-01-25
2001-09-01,1373.09246060447,2020-01-25
2001-10-01,1430.98804645629,2020-01-25
2001-11-01,1476.61167119642,2020-01-25
2001-12-01,1469.68396355193,2020-01-25
2002-01-01,1529.58974997991,2020-01-25
2002-02-01,1543.11275164796,2020-01-25
2002-03-01,1560.20761933507,2020-01-25
2002-04-01,1592.23510068039,2020-01-25
2002-05-01,1636.93060445592,2020-01-25
2002-06-01,1692.85148795775,2020-01-25
2002-07-01,1721.71615752807,2020-01-25
2002-08-01,1771.62435468492,2020-01-25
2002-09-01,1822.52138419571,2020-01-25
2002-10-01,1865.68489154056,2020-01-25
2002-11-01,1937.7109482154,2020-01-25
2002-12-01,1976.77006433677,2020-01-25
2003-01-01,2023.26056564647,2020-01-25
2003-02-01,2073.8459427468,2020-01-25
2003-03-01,2152.07368306972,2020-01-25
2003-04-01,2238.82828748365,2020-01-25
2003-05-01,2333.68050173973,2020-01-25
2003-06-01,2438.90642037408,2020-01-25
2003-07-01,2553.30706941337,2020-01-25
2003-08-01,2616.28171062015,2020-01-25
2003-09-01,2695.66950619183,2020-01-25
2003-10-01,2752.53552895301,2020-01-25
2003-11-01,2814.11653257142,2020-01-25
2003-12-01,2891.61775455019,2020-01-25
2004-01-01,3042.30560036877,2020-01-25
2004-02-01,3259.2674925527,2020-01-25
2004-03-01,3380.34752620392,2020-01-25
2004-04-01,3431.96428537349,2020-01-25
2004-05-01,3483.75610867337,2020-01-25
2004-06-01,3502.4358228125,2020-01-25
2004-07-01,3576.41331031014,2020-01-25
2004-08-01,3604.92935059103,2020-01-25
2004-09-01,3654.74794510604,2020-01-25
2004-10-01,3726.82787028182,2020-01-25
2004-11-01,3881.03102909226,2020-01-25
2004-12-01,4018.48953751817,2020-01-25
2005-01-01,4133.03407802983,2020-01-25
2005-02-01,4237.79006436535,2020-01-25
2005-03-01,4366.24268203841,2020-01-25
2005-04-01,4479.32637397617,2020-01-25
2005-05-01,4589.74558782816,2020-01-25
2005-06-01,4659.54302627917,2020-01-25
2005-07-01,4791.94032322211,2020-01-25
2005-08-01,4955.2467829047,2020-01-25
2005-09-01,5131.85870623534,2020-01-25
2005-10-01,5285.51433226287,2020-01-25
