date,import,export,access_date
1997-01-01,243,234,2021-07-23
1997-02-01,238,241,2021-07-23
1997-03-01,249,248,2021-07-23
1997-04-01,245,262,2021-07-23
1997-05-01,241,245,2021-07-23
1997-06-01,244,254,2021-07-23
1997-07-01,251,267,2021-07-23
1997-08-01,246,260,2021-07-23
1997-09-01,247,263,2021-07-23
1997-10-01,256,273,2021-07-23
1997-11-01,266,270,2021-07-23
1997-12-01,277,283,2021-07-23
1998-01-01,225,250,2021-07-23
1998-02-01,223,257,2021-07-23
1998-03-01,240,268,2021-07-23
1998-04-01,232,261,2021-07-23
1998-05-01,230,251,2021-07-23
1998-06-01,236,252,2021-07-23
1998-07-01,242,246,2021-07-23
1998-08-01,233,236,2021-07-23
1998-09-01,234,191,2021-07-23
1998-10-01,228,181,2021-07-23
1998-11-01,226,182,2021-07-23
1998-12-01,248,212,2021-07-23
1999-01-01,181,144,2021-07-23
1999-02-01,206,170,2021-07-23
1999-03-01,222,207,2021-07-23
1999-04-01,231,199,2021-07-23
1999-05-01,216,165,2021-07-23
1999-06-01,220,218,2021-07-23
1999-07-01,227,195,2021-07-23
1999-08-01,224,184,2021-07-23
1999-09-01,229,186,2021-07-23
1999-10-01,239,202,2021-07-23
1999-11-01,250,208,2021-07-23
1999-12-01,282,217,2021-07-23
2000-01-01,239,164,2021-07-23
2000-02-01,253,204,2021-07-23
2000-03-01,278,211,2021-07-23
2000-04-01,255,200,2021-07-23
2000-05-01,262,201,2021-07-23
2000-06-01,270,209,2021-07-23
2000-07-01,267,210,2021-07-23
2000-08-01,275,216,2021-07-23
2000-09-01,272,213,2021-07-23
2000-10-01,271,220,2021-07-23
2000-11-01,288,223,2021-07-23
2000-12-01,290,233,2021-07-23
2001-01-01,261,196,2021-07-23
2001-02-01,259,215,2021-07-23
2001-03-01,273,222,2021-07-23
2001-04-01,263,224,2021-07-23
2001-05-01,268,226,2021-07-23
2001-06-01,276,229,2021-07-23
2001-07-01,254,225,2021-07-23
2001-08-01,274,227,2021-07-23
2001-09-01,264,221,2021-07-23
2001-10-01,252,232,2021-07-23
2001-11-01,260,237,2021-07-23
2001-12-01,257,249,2021-07-23
2002-01-01,237,214,2021-07-23
2002-02-01,235,219,2021-07-23
2002-03-01,265,228,2021-07-23
2002-04-01,281,238,2021-07-23
2002-05-01,269,230,2021-07-23
2002-06-01,258,235,2021-07-23
2002-07-01,280,243,2021-07-23
2002-08-01,287,240,2021-07-23
2002-09-01,284,239,2021-07-23
2002-10-01,286,253,2021-07-23
2002-11-01,279,247,2021-07-23
2002-12-01,2,266,2021-07-23
2003-01-01,283,231,2021-07-23
2003-02-01,285,242,2021-07-23
2003-03-01,7,256,2021-07-23
2003-04-01,289,259,2021-07-23
2003-05-01,291,255,2021-07-23
2003-06-01,1,258,2021-07-23
2003-07-01,3,271,2021-07-23
2003-08-01,8,264,2021-07-23
2003-09-01,6,265,2021-07-23
2003-10-01,10,274,2021-07-23
2003-11-01,5,272,2021-07-23
2003-12-01,12,284,2021-07-23
2004-01-01,4,244,2021-07-23
2004-02-01,9,269,2021-07-23
2004-03-01,13,278,2021-07-23
2004-04-01,15,277,2021-07-23
2004-05-01,11,276,2021-07-23
2004-06-01,16,279,2021-07-23
2004-07-01,17,282,2021-07-23
2004-08-01,20,281,2021-07-23
2004-09-01,19,280,2021-07-23
2004-10-01,21,287,2021-07-23
2004-11-01,23,288,2021-07-23
2004-12-01,25,7,2021-07-23
2005-01-01,14,275,2021-07-23
2005-02-01,18,286,2021-07-23
2005-03-01,30,1,2021-07-23
2005-04-01,29,290,2021-07-23
2005-05-01,31,289,2021-07-23
2005-06-01,28,292,2021-07-23
2005-07-01,36,6,2021-07-23
2005-08-01,38,4,2021-07-23
2005-09-01,39,5,2021-07-23
2005-10-01,44,10,2021-07-23
2005-11-01,43,13,2021-07-23
2005-12-01,59,21,2021-07-23
2006-01-01,33,285,2021-07-23
2006-02-01,40,2,2021-07-23
