date,m2sa,access_date
1995-07-01,152.421696853552,2019-05-15
1995-08-01,162.907830602897,2019-05-15
1995-09-01,173.992765769783,2019-05-15
1995-10-01,183.804693835449,2019-05-15
1995-11-01,190.123489513244,2019-05-15
1995-12-01,200.390183049027,2019-05-15
1996-01-01,211.462032286801,2019-05-15
1996-02-01,220.146505016409,2019-05-15
1996-03-01,229.796430959843,2019-05-15
1996-04-01,242.985494672178,2019-05-15
1996-05-01,247.792247207833,2019-05-15
1996-06-01,252.145988066889,2019-05-15
1996-07-01,259.824159682153,2019-05-15
1996-08-01,268.467751441848,2019-05-15
1996-09-01,275.69389366549,2019-05-15
1996-10-01,282.345665800433,2019-05-15
1996-11-01,287.435646234835,2019-05-15
1996-12-01,289.656906940182,2019-05-15
1997-01-01,276.042470192597,2019-05-15
1997-02-01,294.51971460663,2019-05-15
1997-03-01,300.570193056523,2019-05-15
1997-04-01,307.705515065585,2019-05-15
1997-05-01,314.495243308249,2019-05-15
1997-06-01,325.777214941346,2019-05-15
1997-07-01,342.762037044359,2019-05-15
1997-08-01,358.49845965893,2019-05-15
1997-09-01,365.18890246868,2019-05-15
1997-10-01,370.646134992544,2019-05-15
1997-11-01,379.236530202582,2019-05-15
1997-12-01,365.55043742694,2019-05-15
1998-01-01,357.944036730551,2019-05-15
1998-02-01,370.930812520845,2019-05-15
1998-03-01,369.071590680607,2019-05-15
1998-04-01,367.570895074601,2019-05-15
1998-05-01,370.170591007117,2019-05-15
1998-06-01,372.828139890014,2019-05-15
1998-07-01,364.996582205892,2019-05-15
1998-08-01,360.858264369936,2019-05-15
1998-09-01,350.885525227159,2019-05-15
1998-10-01,380.902567350646,2019-05-15
1998-11-01,396.538640078158,2019-05-15
1998-12-01,415.374181054026,2019-05-15
1999-01-01,433.394898890677,2019-05-15
1999-02-01,458.641364904632,2019-05-15
1999-03-01,475.739521311005,2019-05-15
1999-04-01,487.107462516313,2019-05-15
1999-05-01,517.396044898056,2019-05-15
1999-06-01,549.62935073743,2019-05-15
1999-07-01,567.489297702369,2019-05-15
1999-08-01,588.331192977789,2019-05-15
1999-09-01,606.020763081976,2019-05-15
1999-10-01,620.471582534099,2019-05-15
1999-11-01,652.991821751183,2019-05-15
1999-12-01,674.344181475671,2019-05-15
2000-01-01,681.339747788384,2019-05-15
2000-02-01,723.256017942345,2019-05-15
2000-03-01,751.957074462529,2019-05-15
2000-04-01,777.773130013053,2019-05-15
2000-05-01,803.465249372294,2019-05-15
2000-06-01,844.126936010202,2019-05-15
2000-07-01,884.872115445956,2019-05-15
2000-08-01,938.611455646609,2019-05-15
2000-09-01,976.939443905267,2019-05-15
2000-10-01,1018.98285243169,2019-05-15
2000-11-01,1035.54969866781,2019-05-15
2000-12-01,1070.30797569197,2019-05-15
2001-01-01,1094.98088787937,2019-05-15
2001-02-01,1112.45670643929,2019-05-15
2001-03-01,1136.7868402986,2019-05-15
2001-04-01,1174.54702835342,2019-05-15
2001-05-01,1224.56927869773,2019-05-15
2001-06-01,1235.12450927162,2019-05-15
2001-07-01,1271.31103264784,2019-05-15
2001-08-01,1321.85312805017,2019-05-15
2001-09-01,1373.09263958808,2019-05-15
2001-10-01,1430.98825282219,2019-05-15
2001-11-01,1476.61182051589,2019-05-15
2001-12-01,1469.68356530279,2019-05-15
2002-01-01,1529.59008988026,2019-05-15
2002-02-01,1543.11264441699,2019-05-15
2002-03-01,1560.20730945168,2019-05-15
2002-04-01,1592.23498319303,2019-05-15
2002-05-01,1636.93066510554,2019-05-15
2002-06-01,1692.85150822739,2019-05-15
2002-07-01,1721.71633765523,2019-05-15
2002-08-01,1771.62455688824,2019-05-15
2002-09-01,1822.52156532421,2019-05-15
2002-10-01,1865.68507458904,2019-05-15
2002-11-01,1937.71117249584,2019-05-15
2002-12-01,1976.76966979259,2019-05-15
2003-01-01,2023.26099864326,2019-05-15
2003-02-01,2073.8460218839,2019-05-15
2003-03-01,2152.07345093659,2019-05-15
2003-04-01,2238.82814497765,2019-05-15
2003-05-01,2333.68051331589,2019-05-15
2003-06-01,2438.90640664438,2019-05-15
2003-07-01,2553.3072975304,2019-05-15
2003-08-01,2616.2818706861,2019-05-15
2003-09-01,2695.66956270418,2019-05-15
2003-10-01,2752.53557507549,2019-05-15
2003-11-01,2814.11668805961,2019-05-15
2003-12-01,2891.6173867159,2019-05-15
2004-01-01,3042.30663205586,2019-05-15
2004-02-01,3259.26762779224,2019-05-15
2004-03-01,3380.34742011687,2019-05-15
2004-04-01,3431.96414528912,2019-05-15
2004-05-01,3483.75618750335,2019-05-15
2004-06-01,3502.43585279073,2019-05-15
2004-07-01,3576.41382091689,2019-05-15
2004-08-01,3604.92947793878,2019-05-15
2004-09-01,3654.74767212581,2019-05-15
2004-10-01,3726.82726364112,2019-05-15
2004-11-01,3881.03025775694,2019-05-15
2004-12-01,4018.48830692073,2019-05-15
2005-01-01,4133.03809346809,2019-05-15
2005-02-01,4237.78957717267,2019-05-15
2005-03-01,4366.24271743315,2019-05-15
2005-04-01,4479.32674068465,2019-05-15
2005-05-01,4589.74683000821,2019-05-15
2005-06-01,4659.54351034955,2019-05-15
2005-07-01,4791.94132346162,2019-05-15
2005-08-01,4955.24639070798,2019-05-15
2005-09-01,5131.85630074529,2019-05-15
2005-10-01,5285.50906489747,2019-05-15
2005-11-01,5439.38583764096,2019-05-15
2005-12-01,5552.30191859699,2019-05-15
2006-01-01,5726.09809652279,2019-05-15
2006-02-01,5883.92104653826,2019-05-15
2006-03-01,5977.59380043238,2019-05-15
2006-04-01,6155.17245663312,2019-05-15
2006-05-01,6348.79400708817,2019-05-15
2006-06-01,6632.65115606671,2019-05-15
2006-07-01,6893.67137300798,2019-05-15
2006-08-01,7189.02514461507,2019-05-15
2006-09-01,7446.18625211237,2019-05-15
2006-10-01,7744.59064603105,2019-05-15
2006-11-01,7962.86737032764,2019-05-15
2006-12-01,8182.62979074787,2019-05-15
2007-01-01,8516.35653585615,2019-05-15
2007-02-01,8734.92163743854,2019-05-15
2007-03-01,8970.357267943,2019-05-15
2007-04-01,9376.73604920666,2019-05-15
2007-05-01,9985.16077906676,2019-05-15
2007-06-01,10613.7104341679,2019-05-15
2007-07-01,10608.1609772506,2019-05-15
2007-08-01,10896.295891831,2019-05-15
2007-09-01,11184.1328941335,2019-05-15
2007-10-01,11507.1305589106,2019-05-15
2007-11-01,11707.9233734328,2019-05-15
2007-12-01,12064.6002338242,2019-05-15
2008-01-01,12213.7068344144,2019-05-15
2008-02-01,12558.9905088134,2019-05-15
2008-03-01,12763.900141047,2019-05-15
2008-04-01,12950.2521507817,2019-05-15
2008-05-01,12961.9712656491,2019-05-15
2008-06-01,13233.1843218686,2019-05-15
2008-07-01,13603.6284068641,2019-05-15
2008-08-01,13879.9013001115,2019-05-15
2008-09-01,14286.2526081713,2019-05-15
2008-10-01,14134.5432526327,2019-05-15
2008-11-01,13558.6394375699,2019-05-15
2008-12-01,13169.7755039202,2019-05-15
2009-01-01,12312.0648168806,2019-05-15
2009-02-01,11438.5779609806,2019-05-15
2009-03-01,11515.3323131015,2019-05-15
2009-04-01,11547.4987995023,2019-05-15
2009-05-01,11838.3613020049,2019-05-15
2009-06-01,12271.9495079216,2019-05-15
2009-07-01,12469.1058987282,2019-05-15
2009-08-01,12670.7034036369,2019-05-15
2009-09-01,12897.0443464268,2019-05-15
2009-10-01,13222.7452743022,2019-05-15
2009-11-01,13770.6678727404,2019-05-15
2009-12-01,14059.1495975775,2019-05-15
2010-01-01,14478.5230551569,2019-05-15
2010-02-01,14875.7591029596,2019-05-15
2010-03-01,15248.2891879283,2019-05-15
2010-04-01,15572.7358299346,2019-05-15
2010-05-01,16076.1265015248,2019-05-15
2010-06-01,16419.9339632756,2019-05-15
2010-07-01,16705.413868656,2019-05-15
2010-08-01,17143.1920063875,2019-05-15
2010-09-01,17597.7744834257,2019-05-15
2010-10-01,17900.7177783139,2019-05-15
2010-11-01,18376.1668657717,2019-05-15
2010-12-01,18716.2591929796,2019-05-15
2011-01-01,18968.3127850687,2019-05-15
2011-02-01,19229.5407478712,2019-05-15
2011-03-01,19493.9050129462,2019-05-15
2011-04-01,19690.5261634846,2019-05-15
2011-05-01,19964.320572605,2019-05-15
2011-06-01,20135.6915817409,2019-05-15
2011-07-01,20540.5610196674,2019-05-15
2011-08-01,20922.1840986503,2019-05-15
2011-09-01,21264.2450657057,2019-05-15
2011-10-01,21775.0002051406,2019-05-15
2011-11-01,21997.197445059,2019-05-15
2011-12-01,22449.6354608616,2019-05-15
2012-01-01,22942.2761297537,2019-05-15
2012-02-01,23234.0336119673,2019-05-15
2012-03-01,23443.5302396856,2019-05-15
2012-04-01,23622.4320414013,2019-05-15
2012-05-01,23830.9497634092,2019-05-15
2012-06-01,24032.2252154068,2019-05-15
2012-07-01,24308.0318949424,2019-05-15
2012-08-01,24398.9146925543,2019-05-15
2012-09-01,24509.9745147553,2019-05-15
2012-10-01,24793.363732883,2019-05-15
2012-11-01,25169.2932450369,2019-05-15
2012-12-01,25311.8909995321,2019-05-15
2013-01-01,25762.4018462754,2019-05-15
2013-02-01,26221.5716694384,2019-05-15
2013-03-01,26632.4436259415,2019-05-15
2013-04-01,27062.1545371911,2019-05-15
2013-05-01,27252.5754280388,2019-05-15
2013-06-01,27593.9968712504,2019-05-15
2013-07-01,28088.9608662198,2019-05-15
2013-08-01,28534.3496494111,2019-05-15
2013-09-01,28733.501389925,2019-05-15
2013-10-01,28773.4597729856,2019-05-15
2013-11-01,29094.4872351171,2019-05-15
2013-12-01,29512.8930741463,2019-05-15
2014-01-01,29583.6622392264,2019-05-15
2014-02-01,29740.7835607432,2019-05-15
2014-03-01,30013.789436146,2019-05-15
2014-04-01,29387.4656851857,2019-05-15
2014-05-01,29742.9328592984,2019-05-15
2014-06-01,29865.8210761691,2019-05-15
2014-07-01,29969.2591081961,2019-05-15
2014-08-01,30260.5147571752,2019-05-15
2014-09-01,30561.0274707219,2019-05-15
